,$CO_2$ delivery rate (mol/min),$H_2$ delivery rate (mol/min),Media delivery rate (mL/min),Media VFA (mg COD/L),Media COD (mg/L),Total C delivery rate (mol/min),$CH_4$ production rate (mol/min),$CO_2$ conversion efficiency (%),$H_2$ conversion efficiency (%),Effluent acetate (mol/L),Effluent propionate (mol/L),Effluent total VFA (mg COD/L),Effluent COD (mg/L),Methanobacterium.1,Methanobacterium.2,Methanobacteriaceae.1
EBM-39.1,-0.834920828813836,-0.9335862522316046,-0.6978631577988531,0.0,-0.8142857142857142,-0.850999776072655,-0.7417339869769682,0.0,0.0,0.7428571428571428,0.7428571428571428,0.6747252747252748,0.0,-0.6321428571428571,0.0,0.0
Thermovirga.2,-0.8182956541332951,-0.9344209294231202,-0.6984870856461424,0.0,-0.7989279329607344,-0.8418773181437151,-0.7191413237924865,0.0,0.0,0.748883230224939,0.748883230224939,0.6879120879120879,0.0,-0.6595176896253041,0.0,0.0
Acinetobacter.1,-0.7378375339503566,-0.7744911934257016,0.0,0.0,-0.8882934735603693,-0.7807805650660495,-0.699463327370304,0.0,0.0,0.6273460950094357,0.6273460950094357,0.7802197802197802,-0.8114391086446832,-0.8275249059526175,0.0,0.0
Taibaiella.1,-0.7484586256825015,-0.7137728009815659,0.0,0.0,-0.6991274710517537,-0.7590629533281119,-0.6979490433641035,0.0,0.0,0.6684955973201049,0.6684955973201049,0.8808032864794307,-0.6811087217978427,-0.9153524620986879,0.0,0.0
Enterobacteriaceae.1,0.0,0.0,0.0,0.7678571428571428,-0.7535714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7214285714285712,-0.6607142857142856,0.0,0.0
Monoglobus.2,0.0,-0.6036045834024403,0.0,0.0,-0.7885355310059193,0.0,0.0,0.0,0.0,0.0,0.0,0.7414745960967397,-0.7670300165239397,-0.9498268896207664,0.7132662303189907,0.0
Dysgonomonas.1,0.0,0.0,0.0,0.0,-0.6535714285714285,-0.637352152965807,-0.6344953382574064,0.0,0.0,0.0,0.0,0.0,-0.7607142857142856,-0.8392857142857142,0.7035714285714285,0.0
Sphingopyxis.1,0.0,0.0,0.0,0.0,-0.6470065139413553,0.0,-0.6350626118067978,0.0,0.0,0.0,0.0,0.0,0.0,-0.7399466761649756,0.7739055815928366,0.0
Christensenellaceae_R-7_group.1,0.6618144005419163,0.0,0.0,0.0,0.0,0.0,0.6808159273125298,0.0,0.0,0.0,0.0,-0.7844928714250409,0.0,0.872107463889301,0.0,0.0
Proteiniphilum.1,0.0,0.6553057347394917,0.0,0.0,0.0,0.0,0.0,0.0,-0.8321428571428571,-0.6392857142857141,-0.6392857142857141,-0.6923076923076923,0.0,0.0,0.0,0.0
Xanthobacter.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7419408268023742,-0.7419408268023742,-0.786715230834177,0.0,0.0,0.0,0.0
midas_g_36215.2,0.0,0.6504515062933759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6415811820457252,-0.6415811820457252,0.0,0.0,0.0,0.0,0.0
midas_g_36215.1,0.0,0.6481243020300178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6321428571428571,-0.6321428571428571,0.0,0.0,0.0,0.0,0.0
Methanobacterium.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6214285714285712,0.6214285714285712,0.8241758241758241,0.0,0.0,0.0,0.0
Erysipelothrix.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6321428571428571,0.0,0.0
Burkholderiales.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7607142857142856,0.7142857142857142,0.0
Methanobacterium.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7535714285714286,1.0,0.0
Desulfovibrio.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6803892089000996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Propionicicella.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7435212977889608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desulfosporosinus.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7186611019007302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pannonibacter.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.8178571428571428,0.0
Monoglobus.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.670101694654728,0.0,0.0,0.0,0.0,0.0,0.0,0.7717463337315688,0.0
Comamonadaceae.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7137355023725096,0.0,0.0,0.0
Rhodococcus.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6273460950094357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proteiniclasticum.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6554601073029339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syntrophobacter.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6442284075362965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devosia.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.7480690163426797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JGI-0000079-D21.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.7238608788570413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gordonia.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.6708544461786654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064567930742356,0.0
Desulfosporosinus.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6897598911817018,0.0
Anaerovorax.1,0.0,0.614012496660017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6535714285714285,0.0,0.0
midas_g_92370.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7654432450185562,0.0,0.0
midas_g_3409.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7321428571428571,0.0,0.0
Geobacteraceae.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7249999999999999,0.0,0.0
Methanothrix.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7196083201671458,0.0,0.0
Ca_Caldatribacterium.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7045330958279271,0.0,0.0
Desulfurispora.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694383846272756,0.0,0.0
Hydrogenophaga.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7730043429927896,0.0
Proteiniphilum.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727392967453308,-0.7492147564769072,0.0
Thiobacillus.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6892857142857142,-0.7107142857142856,0.0
Hyphomonas.1,0.0,-0.7173960131692896,-0.7745966692414834,0.0,0.0,-0.6295331176169902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ercella.2,0.0,0.0,-0.6337609111975774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruminiclostridium.1,0.0,0.0,-0.6280768420189679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudarcobacter.1,0.0,0.0,-0.7745966692414834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syner-01.1,0.0,0.0,-0.7676494735787384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desulfovibrio.1,0.0,0.0,-0.7683357942107565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syner-01.2,0.0,0.0,-0.7683357942107565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thauera.1,0.0,-0.6270432728976668,-0.8326327587384307,0.0,0.0,0.0,0.0,0.703087108822966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christensenellaceae_R-7_group.3,0.0,0.0,-0.7676494735787384,0.0,0.0,0.0,0.0,0.682142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudomonas.2,0.0,0.0,-0.6439726745162332,0.0,0.0,0.0,0.0,0.6846416414557253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midas_g_2178.1,0.7600154590515443,0.7414829272531784,0.0,0.0,0.0,0.7630272253816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midas_g_9269.1,0.0,0.6624871674489656,0.0,0.0,0.0,0.6158078548373854,0.8507599465085226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midas_g_94288.1,0.0,0.0,0.0,0.0,0.0,0.0,0.748883230224939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
