node_a,node_b,rho,abs_rho,sign,qvalue,pvalue,cooccurrence,community_a,community_b,same_community,phylum_a,phylum_b,same_phylum
Christensenellaceae_R-7_group.57,Colidextribacter.6,0.9949367088607595,0.9949367088607595,positive,1.1281870886692489e-10,2.327487884073418e-14,5,4,4,1,Firmicutes,Firmicutes,1
Cryptanaerobacter.1,Methanothrix.1,0.9941176470588236,0.9941176470588236,positive,2.155115238883192e-10,6.156104087964176e-14,4,1,1,1,Firmicutes,Halobacterota,0
Cryptanaerobacter.1,Pelolinea.3,0.9941176470588236,0.9941176470588236,positive,2.155115238883192e-10,6.156104087964176e-14,4,1,1,1,Firmicutes,Chloroflexi,0
Trichloromonas.1,midas_g_77817.1,0.9941176470588236,0.9941176470588236,positive,2.155115238883192e-10,6.156104087964176e-14,4,2,2,1,Desulfobacterota,Firmicutes,0
Bellilinea.1,Pelolinea.3,0.9941176470588236,0.9941176470588236,positive,2.155115238883192e-10,6.156104087964176e-14,4,1,1,1,Chloroflexi,Chloroflexi,1
Bellilinea.1,Methanothrix.1,0.9941176470588236,0.9941176470588236,positive,2.155115238883192e-10,6.156104087964176e-14,4,1,1,1,Chloroflexi,Halobacterota,0
Methanobacterium.34,midas_g_98374.1,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,10,10,1,Euryarchaeota,Chloroflexi,0
HN-HF0106.17,midas_g_110557.1,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,10,10,1,Firmicutes,Firmicutes,1
Christensenellaceae.15,Methanobacterium.34,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,10,10,1,Firmicutes,Euryarchaeota,0
Christensenellaceae.15,Oscillospiraceae.8,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,10,10,1,Firmicutes,Firmicutes,1
Methanobacterium.34,Methanobacterium.55,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,10,10,1,Euryarchaeota,Euryarchaeota,1
Methanobacterium.34,Methanobacterium.37,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,10,10,1,Euryarchaeota,Euryarchaeota,1
Christensenellaceae.4,Symbiobacterium.2,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,6,6,1,Firmicutes,Firmicutes,1
Methylobacter.1,Oscillospiraceae.8,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,10,10,1,Proteobacteria,Firmicutes,0
Oscillospiraceae.8,Proteiniphilum.17,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,10,10,1,Firmicutes,Bacteroidota,0
Erysipelothrix.3,midas_g_9269.2,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,10,10,1,Firmicutes,Bacteroidota,0
Desulfurispora.1,Proteiniphilum.12,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,1,1,1,Firmicutes,Bacteroidota,0
Erysipelothrix.3,midas_g_9269.3,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,10,10,1,Firmicutes,Bacteroidota,0
midas_g_36215.3,midas_g_36215.9,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,4,4,1,Bacteroidota,Bacteroidota,1
Azorhizobium.1,Proteiniphilum.12,0.9927007299270072,0.9927007299270072,positive,4.913114262248074e-10,2.4949956579797884e-13,3,1,1,1,Proteobacteria,Bacteroidota,0
Proteiniborus.5,Syntrophomonas.2,0.9909090909090909,0.9909090909090909,positive,1.9758938084497855e-09,1.0347620477805396e-12,6,4,4,1,Firmicutes,Firmicutes,1
midas_g_49937.1,midas_g_84729.1,0.9898734177215189,0.9898734177215189,positive,3.4512714025520886e-09,2.0812567571806165e-12,5,1,1,1,Chloroflexi,Chloroflexi,1
Caproiciproducens.1,Christensenellaceae.7,0.9898734177215189,0.9898734177215189,positive,3.4512714025520886e-09,2.0812567571806165e-12,5,4,4,1,Firmicutes,Firmicutes,1
Caproiciproducens.1,Colidextribacter.6,0.9898734177215189,0.9898734177215189,positive,3.4512714025520886e-09,2.0812567571806165e-12,5,4,4,1,Firmicutes,Firmicutes,1
Caproiciproducens.1,Propionicicella.4,0.9898734177215189,0.9898734177215189,positive,3.4512714025520886e-09,2.0812567571806165e-12,5,4,4,1,Firmicutes,Actinobacteriota,0
Bacteria (unclassified).39,midas_g_554.2,0.9898734177215189,0.9898734177215189,positive,3.4512714025520886e-09,2.0812567571806165e-12,5,1,1,1,Bacteria (unclassified),Firmicutes,0
Ca_Phosphitivorax.1,Petrimonas.4,0.9863636363636362,0.9863636363636362,positive,2.3071715866170957e-08,1.4279317592609062e-11,6,1,1,1,SAR324_cladeMarine_group_B,Bacteroidota,0
Christensenellaceae.7,Christensenellaceae_R-7_group.38,0.9848101265822785,0.9848101265822785,positive,4.108051133356475e-08,2.8684776377897756e-11,5,4,4,1,Firmicutes,Firmicutes,1
Methanobacterium.96,midas_g_77185.2,0.9848101265822785,0.9848101265822785,positive,4.108051133356475e-08,2.8684776377897756e-11,5,4,4,1,Euryarchaeota,Cyanobacteria,0
Devosia.9,midas_g_77185.2,0.9848101265822785,0.9848101265822785,positive,4.108051133356475e-08,2.8684776377897756e-11,5,4,4,1,Proteobacteria,Cyanobacteria,0
Christensenellaceae.7,Colidextribacter.6,0.9848101265822785,0.9848101265822785,positive,4.108051133356475e-08,2.8684776377897756e-11,5,4,4,1,Firmicutes,Firmicutes,1
Christensenellaceae.7,Propionicicella.4,0.9848101265822785,0.9848101265822785,positive,4.108051133356475e-08,2.8684776377897756e-11,5,4,4,1,Firmicutes,Actinobacteriota,0
Aquamicrobium.1,midas_g_110683.3,0.9841269841269841,0.9841269841269841,positive,5.2216001720528794e-08,3.811749895490406e-11,8,10,4,0,Proteobacteria,Firmicutes,0
Anaerostignum.2,midas_g_5574.2,0.9841269841269841,0.9841269841269841,positive,5.2216001720528794e-08,3.811749895490406e-11,8,5,5,1,Firmicutes,Actinobacteriota,0
EBM-39.1,Thermovirga.2,0.9830209465959819,0.9830209465959819,positive,7.897004581295885e-08,5.890107203492979e-11,13,5,5,1,Synergistota,Synergistota,1
Oxobacteraceae.3,NK4A214_group.2,0.9823529411764704,0.9823529411764704,positive,8.985054944545645e-08,7.557176374471057e-11,4,10,10,1,Firmicutes,Firmicutes,1
Veillonellales-Selenomonadales.2,NK4A214_group.2,0.9823529411764704,0.9823529411764704,positive,8.985054944545645e-08,7.557176374471057e-11,4,10,10,1,Firmicutes,Firmicutes,1
Veillonellales-Selenomonadales.2,Oxobacteraceae.3,0.9823529411764704,0.9823529411764704,positive,8.985054944545645e-08,7.557176374471057e-11,4,10,10,1,Firmicutes,Firmicutes,1
Lachnospiraceae.3,Ruminiclostridium.10,0.9823529411764704,0.9823529411764704,positive,8.985054944545645e-08,7.557176374471057e-11,4,6,6,1,Firmicutes,Firmicutes,1
Bellilinea.1,Cryptanaerobacter.1,0.9823529411764704,0.9823529411764704,positive,8.985054944545645e-08,7.557176374471057e-11,4,1,1,1,Chloroflexi,Firmicutes,0
Lachnospiraceae.3,Proteiniphilum.5,0.9823529411764704,0.9823529411764704,positive,8.985054944545645e-08,7.557176374471057e-11,4,6,6,1,Firmicutes,Bacteroidota,0
Clostridium_sensu_stricto_1.7,Proteiniborus.5,0.9818181818181817,0.9818181818181817,positive,1.0499020529662198e-07,9.163775179030389e-11,6,4,4,1,Firmicutes,Firmicutes,1
Clostridium_sensu_stricto_1.7,Syntrophomonas.2,0.9818181818181817,0.9818181818181817,positive,1.0499020529662198e-07,9.163775179030389e-11,6,4,4,1,Firmicutes,Firmicutes,1
Christensenellaceae.7,Christensenellaceae_R-7_group.57,0.979746835443038,0.979746835443038,positive,2.0688272518942338e-07,1.8385489907969196e-10,5,4,4,1,Firmicutes,Firmicutes,1
Bradyrhizobium.2,Ruminiclostridium.13,0.9789915966386554,0.9789915966386554,positive,2.522218068938345e-07,2.328295136776406e-10,7,4,4,1,Proteobacteria,Firmicutes,0
LNR_A2-18.1,LNR_A2-18.2,0.9785714285714284,0.9785714285714284,positive,2.522218068938345e-07,2.645456012398753e-10,15,1,1,1,Cloacimonadota,Cloacimonadota,1
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.1,HN-HF0106.17,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Proteobacteria,Firmicutes,0
Methanobacterium.55,Methylobacter.1,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Euryarchaeota,Proteobacteria,0
Pelotomaculum.1,Syntrophomonas.15,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,6,6,1,Firmicutes,Firmicutes,1
Methanobacterium.55,Proteiniphilum.17,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Euryarchaeota,Bacteroidota,0
Proteiniphilum.17,midas_g_98374.1,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Bacteroidota,Chloroflexi,0
Azorhizobium.1,Desulfurispora.1,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,1,1,1,Proteobacteria,Firmicutes,0
Anaerovorax.13,Proteiniborus.4,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,4,4,1,Firmicutes,Firmicutes,1
Christensenellaceae.15,midas_g_98374.1,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Firmicutes,Chloroflexi,0
Methanobacterium.34,Oscillospiraceae.8,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Euryarchaeota,Firmicutes,0
Christensenellaceae.15,Methylobacter.1,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Firmicutes,Proteobacteria,0
Acetomicrobium.1,midas_g_2424.1,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Synergistota,Firmicutes,0
Methylobacter.1,midas_g_98374.1,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Proteobacteria,Chloroflexi,0
Christensenellaceae.15,Methanobacterium.55,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Firmicutes,Euryarchaeota,0
Methanobacterium.37,Methylobacter.1,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Euryarchaeota,Proteobacteria,0
Methanobacterium.37,Proteiniphilum.17,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Euryarchaeota,Bacteroidota,0
Symbiobacterium.2,midas_g_51070.2,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,6,6,1,Firmicutes,Firmicutes,1
Christensenellaceae.15,Proteiniphilum.17,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Firmicutes,Bacteroidota,0
Christensenellaceae.15,Methanobacterium.37,0.9781021897810218,0.9781021897810218,positive,2.522218068938345e-07,3.041999765755455e-10,3,10,10,1,Firmicutes,Euryarchaeota,0
Methanobacterium.5,Petrimonas.4,0.9772727272727272,0.9772727272727272,positive,3.1636789065453803e-07,3.8658595836479876e-10,6,1,1,1,Euryarchaeota,Bacteroidota,0
midas_g_36215.1,midas_g_36215.2,0.9749166565164095,0.9749166565164095,positive,5.896225587014747e-07,7.298466940475931e-10,12,1,1,1,Bacteroidota,Bacteroidota,1
Christensenellaceae_R-7_group.57,Desulfovibrio.3,0.9746835443037974,0.9746835443037974,positive,6.178904573288717e-07,7.746428750592069e-10,5,4,4,1,Firmicutes,Desulfobacterota,0
Brevundimonas.3,midas_g_36376.1,0.9740740740740742,0.9740740740740742,positive,7.111564820248806e-07,9.028552156979472e-10,10,5,5,1,Proteobacteria,Planctomycetota,0
Ca_Phosphitivorax.1,Methanobacterium.5,0.9727272727272727,0.9727272727272727,positive,9.730252779575207e-07,1.2507545547744816e-09,6,1,1,1,SAR324_cladeMarine_group_B,Euryarchaeota,0
Methanobacterium.55,Oscillospiraceae.8,0.9708029197080292,0.9708029197080292,positive,1.388617334868285e-06,1.9392250209224787e-09,3,10,10,1,Euryarchaeota,Firmicutes,0
Oscillospiraceae.8,midas_g_98374.1,0.9708029197080292,0.9708029197080292,positive,1.388617334868285e-06,1.9392250209224787e-09,3,10,10,1,Firmicutes,Chloroflexi,0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium.1,midas_g_110557.1,0.9708029197080292,0.9708029197080292,positive,1.388617334868285e-06,1.9392250209224787e-09,3,10,10,1,Proteobacteria,Firmicutes,0
Methanobacterium.34,Methylobacter.1,0.9708029197080292,0.9708029197080292,positive,1.388617334868285e-06,1.9392250209224787e-09,3,10,10,1,Euryarchaeota,Proteobacteria,0
Methanobacterium.34,Proteiniphilum.17,0.9708029197080292,0.9708029197080292,positive,1.388617334868285e-06,1.9392250209224787e-09,3,10,10,1,Euryarchaeota,Bacteroidota,0
Methanobacterium.37,Oscillospiraceae.8,0.9708029197080292,0.9708029197080292,positive,1.388617334868285e-06,1.9392250209224787e-09,3,10,10,1,Euryarchaeota,Firmicutes,0
Christensenellaceae.4,midas_g_51070.2,0.9708029197080292,0.9708029197080292,positive,1.388617334868285e-06,1.9392250209224787e-09,3,6,6,1,Firmicutes,Firmicutes,1
Ca_Phosphitivorax.1,midas_g_95534.1,0.968181818181818,0.968181818181818,positive,2.3856817705435284e-06,3.3695000726564576e-09,6,1,1,1,SAR324_cladeMarine_group_B,Firmicutes,0
Caproiciproducens.1,Christensenellaceae_R-7_group.38,0.9645569620253164,0.9645569620253164,positive,4.467220628932983e-06,6.734788455718308e-09,5,4,4,1,Firmicutes,Firmicutes,1
Desulfovibrio.3,Propionicicella.4,0.9645569620253164,0.9645569620253164,positive,4.467220628932983e-06,6.734788455718308e-09,5,4,4,1,Desulfobacterota,Actinobacteriota,0
Caproiciproducens.1,Desulfovibrio.3,0.9645569620253164,0.9645569620253164,positive,4.467220628932983e-06,6.734788455718308e-09,5,4,4,1,Firmicutes,Desulfobacterota,0
Colidextribacter.6,Desulfovibrio.3,0.9645569620253164,0.9645569620253164,positive,4.467220628932983e-06,6.734788455718308e-09,5,4,4,1,Firmicutes,Desulfobacterota,0
Christensenellaceae_R-7_group.38,Propionicicella.4,0.9645569620253164,0.9645569620253164,positive,4.467220628932983e-06,6.734788455718308e-09,5,4,4,1,Firmicutes,Actinobacteriota,0
Christensenellaceae_R-7_group.38,Colidextribacter.6,0.9645569620253164,0.9645569620253164,positive,4.467220628932983e-06,6.734788455718308e-09,5,4,4,1,Firmicutes,Firmicutes,1
Phenylobacterium.4,Syntrophomonadaceae.1,0.9642435812860762,0.9642435812860762,positive,4.629245701617327e-06,7.125985226408111e-09,8,2,2,1,Proteobacteria,Firmicutes,0
Ruminiclostridium.9,Methanoculleus.1,0.9642435812860762,0.9642435812860762,positive,4.629245701617327e-06,7.125985226408111e-09,8,6,6,1,Firmicutes,Halobacterota,0
midas_g_114295.1,EBM-39.1,0.9641638992754195,0.9641638992754195,positive,4.6478916711123885e-06,7.2284473889772755e-09,12,5,5,1,Armatimonadota,Synergistota,0
midas_g_76603.1,Monoglobus.13,0.9636587165150498,0.9636587165150498,positive,5.033072748689407e-06,7.90735712889598e-09,7,1,1,1,Firmicutes,Firmicutes,1
midas_g_114295.1,Thermovirga.2,0.9614384576250392,0.9614384576250392,positive,7.2868101516063125e-06,1.1563795587657207e-08,12,5,5,1,Armatimonadota,Synergistota,0
Fermentimonas.2,Thermovirga.2,0.9606440071556349,0.9606440071556349,positive,8.221440979015432e-06,1.3177477050822969e-08,13,5,5,1,Bacteroidota,Synergistota,0
Dehalobacterium.1,Syntrophomonas.22,0.959493670886076,0.959493670886076,positive,9.695055944003449e-06,1.5847125436130945e-08,5,4,4,1,Firmicutes,Firmicutes,1
Devosia.9,Methanobacterium.96,0.959493670886076,0.959493670886076,positive,9.695055944003449e-06,1.5847125436130945e-08,5,4,4,1,Proteobacteria,Euryarchaeota,0
Oscillibacter.3,midas_g_669.2,0.9563636363636364,0.9563636363636364,positive,1.545881427955677e-05,2.551364276309874e-08,11,5,5,1,Firmicutes,Firmicutes,1
Colidextribacter.4,Sporomusaceae.2,0.9545454545454546,0.9545454545454546,positive,1.9876566962753056e-05,3.312025154868872e-08,6,6,6,1,Firmicutes,Firmicutes,1
Colidextribacter.1,Lutispora.3,0.9537815126050418,0.9537815126050418,positive,2.1901258874318472e-05,3.684155014247243e-08,7,4,4,1,Firmicutes,Firmicutes,1
Anaerostignum.2,Azoarcus.2,0.9525793444156803,0.9525793444156803,positive,2.556290103866969e-05,4.340670979683336e-08,8,5,5,1,Firmicutes,Proteobacteria,0
Hydrogenophaga.5,Synergistaceae.2,0.9523809523809526,0.9523809523809526,positive,2.60103590926233e-05,4.457928050914585e-08,8,6,6,1,Proteobacteria,Synergistota,0
EBM-39.1,Fermentimonas.2,0.9508493519801133,0.9508493519801133,positive,3.1542257724559024e-05,5.4560987907083084e-08,13,5,5,1,Synergistota,Bacteroidota,0
Methanobacterium.1,Monoglobus.2,-0.9498268896207664,0.9498268896207664,negative,3.56425311507607e-05,6.221916441717201e-08,12,1,9,0,Euryarchaeota,Firmicutes,0
Christensenellaceae_R-7_group.38,Christensenellaceae_R-7_group.57,0.9493670886075949,0.9493670886075949,positive,3.743732330321605e-05,6.594634345791382e-08,5,4,4,1,Firmicutes,Firmicutes,1
Aquamicrobium.2,midas_g_97954.1,0.9490909090909093,0.9490909090909093,positive,3.841261503036013e-05,6.82739214047725e-08,11,5,5,1,Proteobacteria,Firmicutes,0
Aminiphilus.1,midas_g_76603.1,0.9486912654588817,0.9486912654588817,positive,4.001888461489748e-05,7.176395660461828e-08,8,1,1,1,Synergistota,Firmicutes,0
midas_g_49834.1,Proteiniphilum.14,0.9483309289494564,0.9483309289494564,positive,4.111692274326642e-05,7.503802512894974e-08,6,10,10,1,Firmicutes,Bacteroidota,0
Monoglobus.13,Methanobacterium.5,0.9483309289494564,0.9483309289494564,positive,4.111692274326642e-05,7.503802512894974e-08,6,1,1,1,Firmicutes,Euryarchaeota,0
Clostridium_sensu_stricto_1.7,midas_g_95485.1,0.9474847084398104,0.9474847084398104,positive,4.5208947439449647e-05,8.322337739194717e-08,5,4,4,1,Firmicutes,Firmicutes,1
Christensenellaceae_R-7_group.4,Brevundimonas.3,0.9469232953197864,0.9469232953197864,positive,4.796462941081266e-05,8.905737837726666e-08,8,5,5,1,Firmicutes,Proteobacteria,0
Petrimonas.4,midas_g_95534.1,0.9454545454545453,0.9454545454545453,positive,5.658828169111065e-05,1.0596720156712884e-07,6,1,1,1,Bacteroidota,Firmicutes,0
Monoglobus.13,Petrimonas.4,0.943960740336786,0.943960740336786,positive,6.664238498965901e-05,1.25852093404155e-07,6,1,1,1,Firmicutes,Bacteroidota,0
Petrimonas.4,midas_g_49937.1,0.9426873175110012,0.9426873175110012,positive,7.624249437670389e-05,1.451915340274299e-07,5,1,1,1,Bacteroidota,Chloroflexi,0
midas_g_669.2,midas_g_97954.1,0.9418181818181821,0.9418181818181821,positive,8.320699846751126e-05,1.5977476139538613e-07,11,5,5,1,Firmicutes,Firmicutes,1
Hydrogenophaga.5,Romboutsia.3,0.9412005684606735,0.9412005684606735,positive,8.825491212719861e-05,1.7086836702190356e-07,7,6,6,1,Proteobacteria,Firmicutes,0
Phenylobacterium.1,Proteiniborus.5,0.9409090909090908,0.9409090909090908,positive,8.888711635800467e-05,1.7632414296427117e-07,6,4,4,1,Proteobacteria,Firmicutes,0
Rhodococcus.4,midas_g_91392.1,0.9409090909090908,0.9409090909090908,positive,8.888711635800467e-05,1.7632414296427117e-07,6,6,6,1,Actinobacteriota,Firmicutes,0
Proteiniphilum.14,Syntrophomonas.3,0.9409090909090908,0.9409090909090908,positive,8.888711635800467e-05,1.7632414296427117e-07,6,10,10,1,Bacteroidota,Firmicutes,0
midas_g_114295.1,Fermentimonas.2,0.9399137160364188,0.9399137160364188,positive,9.80569637869803e-05,1.9607035638365312e-07,12,5,5,1,Armatimonadota,Bacteroidota,0
Thermovirga.1,midas_g_35108.1,0.9395905517241158,0.9395905517241158,positive,0.00010065711537147052,2.02866881203808e-07,6,1,1,1,Synergistota,Chloroflexi,0
Christensenellaceae_R-7_group.4,midas_g_36376.1,0.9392559002159824,0.9392559002159824,positive,0.00010280104905944472,2.1011218434096014e-07,8,5,5,1,Firmicutes,Planctomycetota,0
Hungateiclostridiaceae.28,midas_g_95485.1,0.9392405063291139,0.9392405063291139,positive,0.00010280104905944472,2.1045061936503587e-07,5,4,4,1,Firmicutes,Firmicutes,1
Romboutsia.3,Synergistaceae.2,0.9391589186375484,0.9391589186375484,positive,0.00010288342833250141,2.1225197072436573e-07,7,6,6,1,Firmicutes,Synergistota,0
Syntrophobacter.1,Clostridia.9,0.9390476190476188,0.9390476190476188,positive,0.00010329012617518275,2.147301635977551e-07,9,2,2,1,Desulfobacterota,Firmicutes,0
midas_g_2604.3,midas_g_35108.1,0.9378899265821922,0.9378899265821922,positive,0.00011464736607991922,2.4197955515646136e-07,5,1,1,1,Firmicutes,Chloroflexi,0
Methanobacterium.5,midas_g_49937.1,0.9378899265821922,0.9378899265821922,positive,0.00011464736607991922,2.4197955515646136e-07,5,1,1,1,Euryarchaeota,Chloroflexi,0
Alcaligenes.3,Phenylobacterium.4,0.9350756189912982,0.9350756189912982,positive,0.0001507371073170303,3.2054420256581174e-07,7,2,2,1,Proteobacteria,Proteobacteria,1
Petrimonas.2,midas_g_76603.1,0.9344767269690313,0.9344767269690313,positive,0.00015858982770630987,3.3975984289763917e-07,8,1,1,1,Bacteroidota,Firmicutes,0
Christensenellaceae.7,Desulfovibrio.3,0.9341772151898733,0.9341772151898733,positive,0.00016204149114918627,3.497261369900234e-07,5,4,4,1,Firmicutes,Desulfobacterota,0
EBM-39.1,midas_g_76603.1,-0.9336248330020928,0.9336248330020928,negative,0.00016837974300548867,3.687498735956682e-07,8,5,1,0,Synergistota,Firmicutes,0
Methanosarcina.1,midas_g_76603.1,-0.9336248330020928,0.9336248330020928,negative,0.00016837974300548867,3.687498735956682e-07,7,5,1,0,Halobacterota,Firmicutes,0
Methanobacterium.5,midas_g_84729.1,0.933092535653383,0.933092535653383,positive,0.00017459150661994365,3.8789492694944155e-07,5,1,1,1,Euryarchaeota,Chloroflexi,0
Acinetobacter.2,Desulfuromonadaceae.1,0.933092535653383,0.933092535653383,positive,0.00017459150661994365,3.8789492694944155e-07,5,5,5,1,Proteobacteria,Desulfobacterota,0
Brevundimonas.3,Fermentimonas.2,0.9318954196047087,0.9318954196047087,positive,0.00019396359855251475,4.3401255904885546e-07,10,5,5,1,Proteobacteria,Bacteroidota,0
Romboutsia.3,Brevundimonas.5,0.9308501744987752,0.9308501744987752,positive,0.00021061394799725146,4.779540191641057e-07,6,6,6,1,Firmicutes,Proteobacteria,0
Pseudolabrys.2,Syntrophomonas.3,0.9308501744987752,0.9308501744987752,positive,0.00021061394799725146,4.779540191641057e-07,6,10,10,1,Proteobacteria,Firmicutes,0
Thermovirga.2,midas_g_76603.1,-0.9306915626519003,0.9306915626519003,negative,0.00021220689370374344,4.84936564784636e-07,6,5,1,0,Synergistota,Firmicutes,0
Petrimonas.2,Monoglobus.13,0.9302980949429842,0.9302980949429842,positive,0.00021843171044378081,5.026279559200847e-07,7,1,1,1,Bacteroidota,Firmicutes,0
Brevundimonas.5,Synergistaceae.2,0.9301061243736666,0.9301061243736666,positive,0.00022074483980176175,5.114537501357987e-07,6,6,6,1,Proteobacteria,Synergistota,0
Azoarcus.2,midas_g_5574.2,0.929250870674888,0.929250870674888,positive,0.00023678178730843894,5.523680885888934e-07,8,5,5,1,Proteobacteria,Actinobacteriota,0
Syntrophomonas.2,midas_g_95485.1,0.9282951447245739,0.9282951447245739,positive,0.0002492772064198381,6.012970986735488e-07,5,4,4,1,Firmicutes,Firmicutes,1
Petrimonas.4,midas_g_84729.1,0.9282951447245739,0.9282951447245739,positive,0.0002492772064198381,6.012970986735488e-07,5,1,1,1,Bacteroidota,Chloroflexi,0
Phenylobacterium.1,midas_g_77185.2,0.9282951447245739,0.9282951447245739,positive,0.0002492772064198381,6.012970986735488e-07,5,4,4,1,Proteobacteria,Cyanobacteria,0
Ca_Phosphitivorax.1,midas_g_49937.1,0.9282951447245739,0.9282951447245739,positive,0.0002492772064198381,6.012970986735488e-07,5,1,1,1,SAR324_cladeMarine_group_B,Chloroflexi,0
Proteiniborus.5,Christensenellaceae.7,0.9282951447245738,0.9282951447245738,positive,0.0002492772064198381,6.012970986735549e-07,5,4,4,1,Firmicutes,Firmicutes,1
Aminiphilus.1,Monoglobus.13,0.9281856556985663,0.9281856556985663,positive,0.00025004905211073805,6.071270665716019e-07,7,1,1,1,Synergistota,Firmicutes,0
