seq,Kingdom,Phylum,Class,Order,Family,Genus,Species,rel_ab
e29f9ab1342fe7d53d4f1e2d03bb5969,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Syner-01,,1.954459
430c875622713c0d7662add2d8e7db60,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,midas_s_43704,3.315685
e144d237c973d831d708cac2c17df968,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,,1.532165
ec92f6331d8ecb50e3f0dee8fbf3bcb0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,midas_g_15299,midas_s_96664,3.046638
8e6faab8acc1bdcba46f098a739aec14,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,midas_s_108787,5.774696
160417c8184691818a991a146e5402d7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,midas_s_108787,5.430803
d42912a22b570ab99938b745999ae2cc,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,midas_s_56922,1.404416
b7806c4f83108800a9c32dc83c148d95,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Acetoanaerobium,,0.845388
93fadef301b62aa732e42bf1142b3afa,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,midas_g_9269,,2.742196
4bea53b2aad77f2569a0182f6b84255e,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,midas_s_30643,1.246435
472fdc0687378563f0c9da6da7638e1a,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_13,midas_s_88977,2.065458
765b69d9c4313cc8630769db523cc54c,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,,2.635314
29b313a5262947210e3e9de415abaead,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,,2.185443
e9e060e5e0e46911cad92b8292aeefd7,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Proteiniclasticum,Proteiniclasticum_ruminis,2.952743
ea156f972cd3802c3fac147e4200ba7a,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,midas_g_36215,midas_s_82500,3.01658
da47a34fd036b068ca0c5eaf185e2082,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Thermovirga,midas_s_94423,0.976437
01bc6f144e0f577c7a5364ebafdb3509,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,midas_s_114219,0.73747
3343d19c0bc1759a66023cbc86c92592,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,LNR_A2-18,,1.430462
a061d8883eca2028db1d268500722130,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,LNR_A2-18,,1.405119
0709277372b3816e3986842fb10c8e96,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,midas_s_90161,1.049974
a82691ab5fd4e8d3d3b23b7958c8e764,Bacteria,Firmicutes,Thermoanaerobacteria,Thermoanaerobacterales,SRB2,midas_g_97954,midas_s_97954,2.275223
181a2b6fbc1d5f5de022772f08fb875c,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,,1.071379
28f1a500a5a6ebd1cede9322b50bcaad,Bacteria,Firmicutes,Thermoanaerobacteria,Thermoanaerobacterales,SRB2,midas_g_4301,midas_s_97088,1.454378
5976a56adfe903f7348b5eb5689e3c55,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,midas_g_36215,midas_s_87061,0.842899
4b50be28c2cc7c6a4dbc6300155c5218,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,midas_s_25101,0.923676
19463e5fe824700110e4a4ec8afe0512,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_beijingense,1.015127
499a635c6e7dcd5c8ef518302aa50011,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Fermentimonas,,0.467183
ff6f97ce50ea01298f8e58b53b97d489,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,1.790607
c7553191e309cfc2e28aea2507e7afdf,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Anaerovorax,,0.344164
9feda0d620fa50b57ce3f848e1b48975,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,1.520157
07e00e1bcc9d9a3c50591f721785e591,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,,,3.2639
cd05a4b1cda569ae366c6980823f4c72,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azoarcus,,2.387779
28b5f35cfb5f0516e5e5f896428abdcd,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aquamicrobium,Aquamicrobium_lusatiense,0.778659
113b0d8ebf97fc5aba85fa06ecfdbb1a,Bacteria,Firmicutes,Syntrophomonadia,Syntrophomonadales,Syntrophomonadaceae,,,0.86231
cd1f95189b8375347f827f4a8b08dcf7,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Soehngenia,midas_s_46673,2.236056
a402fc6f0fd057decbe746f48bf12862,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Petrimonas,Petrimonas_sulfuriphila,0.506057
1f4fb4bfdca6c9d13106ed533362a62e,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfosporosinus,,0.713964
e8e82cf023a3abd684fe7e817acc9bf0,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,0.731349
793ecb5ed65cd96425a35698e8ab9e78,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,Sulfurospirillum_cavolei,0.896829
58b2cf308363fb35b932620518786116,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Proteiniboraceae,Proteiniborus,Proteiniborus_ethanoligenes,0.631609
a353b92733af5260a57dd1a0ba3001e1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_beijingense,1.684071
deb262fd92af4fdcd3b6240303048b2a,Bacteria,WPS-2,midas_c_55,midas_o_1194,midas_f_1770,midas_g_2901,midas_s_3072,0.286998
abaecd8b82d14efc7ccc4dcb7f864cba,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Sedimentibacteraceae,Sedimentibacter,midas_s_87661,0.439309
5631fe818e588992529f6071afc9cda5,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,0.878552
4adbf4beb8d2b17f63b543e4d9aa39b6,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,midas_g_9269,,1.05266
43a52ec4605b37f3671b33e61ff6fedd,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,midas_g_36215,midas_s_87061,0.431599
b4eac52cfa36ce63f24be2fc530ad204,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,Proteiniphilum_saccharofermentans,0.260244
f63e76a4ce2cd0f7f39e8195d8302dcf,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,0.931325
206069e5a5041e6c7f39a4141aefdc19,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_47390,0.344837
d863bc6a2fa6a8a93787e45a6abe3304,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,midas_s_74451,0.551216
89d1d4064aa11fd1f3efb8e1345c813f,Bacteria,Firmicutes,Thermoanaerobacteria,Thermoanaerobacterales,SRB2,midas_g_97954,,0.506655
52708c2cfa926ba9b2f69878c97cee2c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Stappia,,1.770543
bb617d32673d5f60d6216a07ad7a42bc,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,midas_s_76151,1.258457
d02e8e093df5064814273f652473189e,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,midas_s_95615,0.359137
d48429274cd09a4257ad8b24c009e8fd,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,midas_g_25828,,1.534471
efbade8cc54695abfc5c07f21eecb6e7,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,0.390175
0b736ddea36ed16291fa058fe28061f8,Bacteria,Firmicutes,Clostridia,Proteinivoracales,midas_f_1799,midas_g_1799,midas_s_91638,1.653302
7d537f12eaa3231c2c2b58b74901051c,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,midas_g_3595,midas_s_91643,0.380637
a43c475502b54cdee1385dcca3109bfe,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,,1.419755
e1382120e151d51cb3b3b6900845f1c8,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,midas_s_21122,1.453304
659d1fe872c9b31a9e0b81eef5ca6218,Bacteria,Firmicutes,Desulfotomaculia,Desulfotomaculales,Pelotomaculaceae,Pelotomaculum,midas_s_95439,0.399675
dc9b83b9dbf521d0d0b0e1576e44d06a,Bacteria,Firmicutes,Limnochordia,Limnochordales,Limnochordaceae,midas_g_93469,midas_s_93469,1.114423
868a2dd217365ddd6d6ab64d48aeed4a,Bacteria,Firmicutes,,,,,,0.35291
a49becf5a5dbcb201f091757c62fc6bb,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Pseudarcobacter,,0.4696
19083703874fec5c0e976f6ca4fa6bc9,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,,0.495239
5cb2b4186e2e95521540e2ccbafcb4c9,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,0.436596
fa0525ece71fa3362210e904b24a9b62,Bacteria,Firmicutes,Thermoanaerobacteria,Thermoanaerobacterales,SRB2,midas_g_4301,,0.478202
21ceeb224e15175f0c85797abce40d0a,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,midas_s_18114,0.29336
de329304e57f0e32da3a08e64625a2e1,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,,0.844221
04e715f54c06e9ccf25afba02b343b5c,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_7,midas_s_113288,1.290441
09383f3babfd32418e7ba07634680e12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Pannonibacter,Pannonibacter_phragmitetus,0.528152
df94cb7c1f51d6e7df4a969d561b0a4d,Bacteria,Actinobacteriota,Actinobacteria,midas_o_5,midas_f_5,midas_g_399,,1.236064
ac9e79a82beb3b70c0c7193fff0a8524,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Anaerovorax,midas_s_8128,0.171986
cb08126894ac0c8eeddc7b86d1ab1eb9,Bacteria,Firmicutes,Moorellia,Desulfitibacterales,Desulfitibacteraceae,Desulfitibacter,,1.218293
b47908de018aea1744738eba767e1034,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Anaerosalibacter,midas_s_79866,0.806993
0eff2f70a09cbdfd1a1684adcb990931,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,,,0.293377
6e50cfec46931f3d8e0af8e75af55b43,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,,1.161109
ec716420b2bb28ff5cfc5b19edbe2dfa,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,midas_s_18114,0.285585
b180a2455b236c103cf0bfe620095736,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,,1.131821
3badde1c4760a921d723409ee05fead0,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,JGI-0000079-D21,midas_s_976,0.129058
dcc552ee0bfe584a9f79fd3d7893047f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,1.143757
3679eb1918d142d7e468ea32c2f42595,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,midas_s_5625,0.332236
66575db7635d648549a9eb5a4eafb710,Bacteria,WS1,midas_c_796,midas_o_796,midas_f_2296,midas_g_3409,midas_s_3951,0.197984
f876e4d5cbaa6ac5f3c225bcaf146791,Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_1469,midas_g_2178,midas_s_5149,0.29882
5040d210b906c738569bf1c3505ad558,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_62346,0.626765
c05932b0e9b0bcf5f076c8971c6bab60,Bacteria,Firmicutes,,,,,,1.107683
42655605abb4cc7bd5f1be954adf23b0,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Ruminiclostridium,midas_s_97058,0.269206
212e304679f170a464d2616b3f94a250,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hydrogenoanaerobacterium,midas_g_98017,midas_s_120285,0.354287
6322c84c5ee6585bf9973a931d8f279d,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,0.141381
e357ec372ce3fdd9cc473b8f57edc002,Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,UCG-009,midas_s_84783,0.298613
89dfaf0aa4a8af8e27a826ba8dd97044,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Sporanaerobacter,,0.294205
a5ea8c2ae0dc9882cf9358924dd4f453,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,midas_g_25828,midas_s_84217,0.836068
3487ee381e9bba57861b67ac3936d665,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.986995
8ebc39e79a930b5db089420489c40543,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,midas_s_92051,0.340406
7281c911136ba2bdcafebb9c71729dea,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_beijingense,0.555104
acb819d2b09f090ba6c3112028bbc54b,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,midas_f_269,midas_g_269,midas_s_269,0.929436
9711e5e56376fe411f8d9ca9e739c6f1,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,0.148215
492422c8881f2e782fccb0225f1c68ab,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas,midas_s_89306,0.941637
2f5695c1563063d2b821ab2eecfa3bd3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,0.938189
8db3a14ae839a3bee50b9a192c59f8f9,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,midas_g_9023,midas_s_9023,0.194611
01a7c19fe64d4300e6e5a8a7280a10bb,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,,0.616648
e1c573f885ed4c9191a32116f583d78a,Bacteria,Armatimonadota,midas_c_216,midas_o_92789,midas_f_92789,midas_g_114295,midas_s_114295,0.193087
6075255b58efbd350ad34112f80f970a,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,,,0.883813
db5aaacffe4ca31116f5b0e292074588,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,,,0.379633
894d5f2608f2a0e9e3bf2499f1cc6130,Bacteria,Caldatribacteriota,Caldatribacteriia,Caldatribacteriales,Caldatribacteriaceae,Ca_Caldatribacterium,,0.69522
fc7dec198c007a0622c9acba71b1edb1,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,midas_s_92051,0.387697
bdc8f8a67a910d09965f2c9975bb00c8,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,HN-HF0106,,0.551911
afd6038f44400cf165c3d637f88be98a,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Anaerovorax,,0.48454
496ed1835247fa310353bd53160fad4a,Bacteria,Actinobacteriota,Coriobacteriia,OPB41,,,,0.836863
0e9cc4c909306f5a9562d84888902e09,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,midas_f_6187,midas_g_6187,midas_s_6187,0.16332
6dfb10e6d92b2c7ec87175ad560bed2e,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,0.812991
5a6520a634bb27352c524ba237fd0d64,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,midas_s_22101,0.664451
d96a2ea1b09f080f66ce79b9ddfa768e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,,0.735538
f59f09ec54e73f740708fa68eeb78a8c,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,,0.724508
08ea1c9b9d368cd6d9bfeb8857e90315,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,,,0.793362
0f312394fc32d16cfdca183b11aad4ad,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,Clostridium_citroniae,0.33888
c39f594d9d2493b66260c1f7503e5ea1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_beijingense,0.767368
b26eb5a5ca6820d220d5433b1cffa5e6,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,,0.252155
7f1023e871bcd3a4f7ac96f3a40c9a8d,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostignum,Anaerotignum_propionicum,0.210595
0c488eee4c6d02abb4e34df3ec16a09b,Bacteria,Actinobacteriota,Coriobacteriia,OPB41,midas_f_3016,midas_g_5574,midas_s_36575,0.406808
e6141036b0768b50c8079ce8ba7222f9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechlorobacter,midas_s_25444,0.511383
e4486fa2f00016fa6078468bfe73bb89,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Family_XI,Tissierella,,0.147233
02809af9a001c44a58624822e0e44569,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Sedimentibacteraceae,Sedimentibacter,,0.288491
acfe0924c0f9c6ca3720854b5b458d54,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,,0.200713
1d4b9f3ddf33afdf5308213897846090,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Leptolinea,midas_s_825,0.813284
4ced6b735a53af484d0cf4f620846dcd,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,,,0.717766
69dee006368ff49af541d111152b40c6,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,midas_g_77817,midas_s_77817,0.141301
e79a45f432d0ccc86adbf9bbe7cef2a7,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Thiobacillus,,0.468254
a84e1039f9b157a2085d23b4114bc888,Bacteria,Armatimonadota,Chthonomonadetes,Chthonomonadales,midas_f_6187,midas_g_6187,midas_s_6187,0.145864
d3156233792852376762d588f607ac71,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_5,midas_s_102242,0.26655
ab2050607cb3fe172ea918d5a17a46c7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aquamicrobium,Aquamicrobium_lusatiense,0.566308
4c7b0d554a1103b7872deded4bccb4ea,Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,midas_s_119413,0.188353
92f305372628ccbd74b7b28b933d306b,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,midas_g_9269,,0.480679
4f3989d95e7611bb6b5307454d75d3ce,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,midas_s_93948,0.127057
1d33e98c9d94c262ab0d8b56d0936eb4,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,midas_s_191,0.25232
a27f37aae2a34101f8a61c6f0b1cd246,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Serpentinicella,midas_g_75908,,0.612992
179e72f0ecdfeb920df685432f3f2d1a,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella,midas_s_72974,0.293667
00e66df34e257e501593d8fab7b76b0d,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,,0.237259
8c86a02bd0f2c7a90bb40b735577a623,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,,0.596812
0d1f62d4f2f7227766a17f0340567129,Bacteria,Firmicutes,Syntrophomonadia,Syntrophomonadales,Syntrophomonadaceae,Syntrophomonas,,0.107467
8c740d5ca21893b47c7619df1247c75d,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,,0.145714
99daab1404e1c027be5dce96473d53ab,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,,,0.20205
945e47119242497c2e0bc5b3c6b6ba8e,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Aminiphilus,midas_s_8148,0.224284
e1abbababbc410f2f1faa24f6ccbc7f9,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,0.563921
3d34374d81a96ce4972b93ef5dae9b82,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Thiopseudomonas,midas_s_89874,0.562064
405dff4269ebcff0dbc2d5c0c63a1ee3,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Ruminiclostridium,,0.909526
b24e75b90cb37f9b407738a392646776,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium_formicicum,0.271194
4835c874610f20a02421b283dbe2f2b6,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_3624,0.1107
0f4c04cefd226f6854ad0fbc2a2de226,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Camelimonas,,0.191522
