node_a,node_b,rho,abs_rho,sign,qvalue,pvalue,cooccurrence,community_a,community_b,same_community,phylum_a,phylum_b,same_phylum
Aquamicrobium.2,midas_g_97954.1,0.9490909090909093,0.9490909090909093,positive,3.6034975717438934e-05,6.827392140477252e-08,11,0,0,1,Proteobacteria,Firmicutes,0
Methanosarcina.1,midas_g_76603.1,-0.9411540655263035,0.9411540655263035,negative,8.497374008971256e-05,1.7172917032151078e-07,7,0,5,0,Halobacterota,Firmicutes,0
Fermentimonas.2,midas_g_114295.1,0.9399137160364188,0.9399137160364188,positive,9.131111832290484e-05,1.9607035638365317e-07,12,0,0,1,Bacteroidota,Armatimonadota,0
Petrimonas.2,midas_g_76603.1,0.9382754128510193,0.9382754128510193,positive,0.00010082905990387921,2.326016054990451e-07,8,5,5,1,Bacteroidota,Firmicutes,0
Methanobacterium.5,midas_g_49937.1,0.9378899265821922,0.9378899265821922,positive,0.00010082905990387921,2.419795551564614e-07,5,5,5,1,Euryarchaeota,Chloroflexi,0
Thermovirga.2,midas_g_76603.1,-0.9363435357044422,0.9363435357044422,negative,0.00011196719886917145,2.8285259282347214e-07,6,0,5,0,Synergistota,Firmicutes,0
Methanobacterium.5,midas_g_84729.1,0.933092535653383,0.933092535653383,positive,0.00013958927893903316,3.8789492694944166e-07,5,5,5,1,Euryarchaeota,Chloroflexi,0
Acinetobacter.2,Desulfuromonadaceae.1,0.933092535653383,0.933092535653383,positive,0.00013958927893903316,3.8789492694944166e-07,5,0,0,1,Proteobacteria,Desulfobacterota,0
EBM-39.1,midas_g_76603.1,-0.9298602167399879,0.9298602167399879,negative,0.000180007999637254,5.229485905844186e-07,8,0,5,0,Synergistota,Firmicutes,0
Methanothrix.1,midas_g_84729.1,0.9277712507244908,0.9277712507244908,positive,0.00020769702292299143,6.296234116649987e-07,4,5,5,1,Halobacterota,Chloroflexi,0
Desulfosporosinus.1,Monoglobus.1,0.9253627917180896,0.9253627917180896,positive,0.00024524668168276944,7.746537080862835e-07,8,2,2,1,Firmicutes,Firmicutes,1
Petrimonas.2,Aminiphilus.1,0.92490130513608,0.92490130513608,positive,0.00024524668168276944,8.054078216182905e-07,9,5,5,1,Bacteroidota,Synergistota,0
Thermovirga.2,Methanosarcina.1,0.9240396898002229,0.9240396898002229,positive,0.00025380290055221897,8.655650265138199e-07,13,0,0,1,Synergistota,Halobacterota,0
Trichloromonas.1,Proteiniclasticum.1,0.9223137727790527,0.9223137727790527,positive,0.0002736570899920032,9.974235430378242e-07,4,0,0,1,Desulfobacterota,Firmicutes,0
Christensenellaceae_R-7_group.3,Desulfovibrio.1,0.9222523789882303,0.9222523789882303,positive,0.0002736570899920032,1.0024069230476307e-06,13,3,3,1,Firmicutes,Desulfobacterota,0
EBM-39.1,Methanosarcina.1,0.9214285714285713,0.9214285714285713,positive,0.0002827206349849715,1.0713172981620745e-06,14,0,0,1,Synergistota,Halobacterota,0
midas_g_76603.1,Methanobacterium.5,0.9173649445877259,0.9173649445877259,positive,0.0003759413034024819,1.4720450177437085e-06,6,5,5,1,Firmicutes,Euryarchaeota,0
Methanobacterium.1,Taibaiella.1,-0.9153524620986878,0.9153524620986878,negative,0.0004237428296309677,1.712741006465955e-06,11,5,2,0,Euryarchaeota,Bacteroidota,0
Ercella.1,Methanobacterium.5,0.9131178846590791,0.9131178846590791,positive,0.00048405920265459537,2.0176776162184725e-06,6,5,5,1,Firmicutes,Euryarchaeota,0
midas_g_49937.1,midas_g_92370.1,0.9113988168881761,0.9113988168881761,positive,0.0005192964361896156,2.2820110214015232e-06,4,5,5,1,Chloroflexi,Firmicutes,0
Aminiphilus.1,Methanobacterium.5,0.9113141645412444,0.9113141645412444,positive,0.0005192964361896156,2.295740213039857e-06,6,5,5,1,Synergistota,Euryarchaeota,0
Clostridium_sensu_stricto_13.1,Methanosarcina.1,0.9068158606568072,0.9068158606568072,positive,0.0006886859035233796,3.1315766738463644e-06,12,0,0,1,Firmicutes,Halobacterota,0
Azoarcus.2,midas_g_97954.1,0.9044306525073137,0.9044306525073137,positive,0.0007817708871664763,3.6689890165789173e-06,9,0,0,1,Proteobacteria,Firmicutes,0
Taibaiella.1,Ercella.1,-0.9040872399131279,0.9040872399131279,negative,0.0007817708871664763,3.7523422650405584e-06,4,2,5,0,Bacteroidota,Firmicutes,0
Clostridium_sensu_stricto_13.1,Aminiphilus.1,-0.9032391939306841,0.9032391939306841,negative,0.0008048889607132384,3.964970249818908e-06,6,0,5,0,Firmicutes,Synergistota,0
Fermentimonas.2,midas_g_76603.1,-0.9024316973891908,0.9024316973891908,negative,0.0008266689152056052,4.176677606192271e-06,6,0,5,0,Bacteroidota,Firmicutes,0
Methanosarcina.1,Petrimonas.2,-0.9009374626955591,0.9009374626955591,negative,0.0008719747951276305,4.593314997348242e-06,10,0,5,0,Halobacterota,Bacteroidota,0
Fermentimonas.2,Aminiphilus.1,-0.9008122145493201,0.9008122145493201,negative,0.0008719747951276305,4.629756467911378e-06,7,0,5,0,Bacteroidota,Synergistota,0
Thermovirga.2,Clostridium_sensu_stricto_13.1,0.900451689790615,0.900451689790615,positive,0.0008719747951276305,4.736000529302528e-06,12,0,0,1,Synergistota,Firmicutes,0
midas_g_114295.1,Romboutsia.1,0.8996473558294806,0.8996473558294806,positive,0.0008762137655095149,4.980373809262116e-06,12,0,0,1,Armatimonadota,Firmicutes,0
EBM-39.1,Clostridium_sensu_stricto_13.1,0.8996473558294806,0.8996473558294806,positive,0.0008762137655095149,4.980373809262116e-06,12,0,0,1,Synergistota,Firmicutes,0
Fermentimonas.2,Clostridium_sensu_stricto_13.1,0.8968642328591785,0.8968642328591785,positive,0.001016918891477364,5.908585197418056e-06,12,0,0,1,Bacteroidota,Firmicutes,0
Mesotoga.1,midas_g_15299.1,0.8964285714285712,0.8964285714285712,positive,0.001021822431979493,6.066143021729969e-06,15,3,3,1,Thermotogota,Bacteroidota,0
midas_g_114295.1,midas_g_76603.1,-0.8954177055544241,0.8954177055544241,negative,0.001041368051352039,6.44524877052544e-06,5,0,5,0,Armatimonadota,Firmicutes,0
Clostridium_sensu_stricto_13.1,midas_g_76603.1,-0.8954177055544241,0.8954177055544241,negative,0.001041368051352039,6.44524877052544e-06,5,0,5,0,Firmicutes,Firmicutes,1
Acinetobacter.2,Azoarcus.2,0.8946691569697147,0.8946691569697147,positive,0.0010669769098599234,6.738517808891773e-06,6,0,0,1,Proteobacteria,Proteobacteria,1
Thermovirga.2,Aminiphilus.1,-0.8934285078726864,0.8934285078726864,negative,0.0011253047933584433,7.249026709773981e-06,7,0,5,0,Synergistota,Synergistota,1
midas_g_114295.1,Methanosarcina.1,0.8924788510021541,0.8924788510021541,positive,0.0011664176967800604,7.661199978850972e-06,12,0,0,1,Armatimonadota,Halobacterota,0
Acinetobacter.2,Christensenellaceae_R-7_group.4,0.8918825850158447,0.8918825850158447,positive,0.0011845361519826104,7.929823930160206e-06,6,0,0,1,Proteobacteria,Firmicutes,0
Acinetobacter.2,midas_g_97954.1,0.8903616128590073,0.8903616128590073,positive,0.0012682961229964326,8.65075036526555e-06,6,0,0,1,Proteobacteria,Firmicutes,0
midas_g_84729.1,midas_g_92370.1,0.8895689051064236,0.8895689051064236,positive,0.0012791025499653938,9.047586560321037e-06,4,5,5,1,Chloroflexi,Firmicutes,0
Methanothrix.1,midas_g_49937.1,0.8895689051064235,0.8895689051064235,positive,0.0012791025499653938,9.047586560321088e-06,4,5,5,1,Halobacterota,Chloroflexi,0
Christensenellaceae_R-7_group.4,Fermentimonas.2,0.8892437602665931,0.8892437602665931,positive,0.0012798702780130809,9.214678015251435e-06,8,0,0,1,Firmicutes,Bacteroidota,0
midas_g_114295.1,Clostridium_sensu_stricto_13.1,0.8884892086330936,0.8884892086330936,positive,0.001312086342292333,9.612354155987787e-06,12,0,0,1,Armatimonadota,Firmicutes,0
Clostridium_sensu_stricto_13.1,Petrimonas.2,-0.8860889883220747,0.8860889883220747,negative,0.0014725002248759727,1.0973539632143791e-05,8,0,5,0,Firmicutes,Bacteroidota,0
Acetobacterium.1,midas_g_15299.1,0.8857142857142855,0.8857142857142855,positive,0.0014725446440431306,1.119982185120849e-05,15,3,3,1,Firmicutes,Bacteroidota,0
Christensenellaceae_R-7_group.4,Methanobacterium.4,-0.885475778231565,0.885475778231565,negative,0.0014725446440431306,1.1345866273415557e-05,6,0,5,0,Firmicutes,Euryarchaeota,0
Petrimonas.2,Methanobacterium.5,0.8822304565771898,0.8822304565771898,positive,0.0017233261220401923,1.3495796332763916e-05,6,5,5,1,Bacteroidota,Euryarchaeota,0
Christensenellaceae_R-7_group.4,Thermovirga.2,0.881707796196537,0.881707796196537,positive,0.0017432171777100748,1.3871754729788394e-05,8,0,0,1,Firmicutes,Synergistota,0
Desulfuromonadaceae.1,Thauera.1,0.8809704447837573,0.8809704447837573,positive,0.001760581156119934,1.4416907073130256e-05,5,0,3,0,Desulfobacterota,Proteobacteria,0
Christensenellaceae_R-7_group.2,midas_g_76603.1,0.8809202053326198,0.8809202053326198,positive,0.001760581156119934,1.4454689294909148e-05,8,5,5,1,Firmicutes,Firmicutes,1
EBM-39.1,Aminiphilus.1,-0.879720502924256,0.879720502924256,negative,0.001845100184445024,1.5381661257215055e-05,9,0,5,0,Synergistota,Synergistota,1
Acinetobacter.2,Methanobacterium.4,-0.8791323210927448,0.8791323210927448,negative,0.0018680557594199947,1.585384936285244e-05,4,0,5,0,Proteobacteria,Euryarchaeota,0
Anaerovorax.1,Proteiniphilum.1,0.8785714285714284,0.8785714285714284,positive,0.0018680557594199947,1.63152802865443e-05,15,5,5,1,Firmicutes,Bacteroidota,0
midas_g_3409.1,Geobacteraceae.1,0.8785714285714284,0.8785714285714284,positive,0.0018680557594199947,1.63152802865443e-05,14,5,5,1,WS1,Desulfobacterota,0
Aminivibrio.1,Clostridium_sensu_stricto_13.1,0.8781418413475012,0.8781418413475012,positive,0.0018680557594199947,1.6676182723906915e-05,12,0,0,1,Synergistota,Firmicutes,0
Methanothrix.1,Desulfurispora.1,0.8780516313060174,0.8780516313060174,positive,0.0018680557594199947,1.6752805218999573e-05,3,5,5,1,Halobacterota,Firmicutes,0
EBM-39.1,Aquamicrobium.2,0.8775130886654744,0.8775130886654744,positive,0.001893079880388323,1.7216338434755497e-05,11,0,0,1,Synergistota,Proteobacteria,0
Achromobacter.1,Achromobacter.2,0.876508525781236,0.876508525781236,positive,0.001955805876951993,1.8109450450475886e-05,10,1,1,1,Proteobacteria,Proteobacteria,1
Ercella.1,midas_g_84729.1,0.8763204394271343,0.8763204394271343,positive,0.001955805876951993,1.8280868371156684e-05,5,5,5,1,Firmicutes,Chloroflexi,0
Thermovirga.2,Methanobacterium.5,-0.8750996040235121,0.8750996040235121,negative,0.0020506687415311276,1.942657011681629e-05,4,0,5,0,Synergistota,Euryarchaeota,0
Fermentimonas.2,Romboutsia.1,0.8722076762524348,0.8722076762524348,positive,0.0022711505544921666,2.2380082389487023e-05,13,0,0,1,Bacteroidota,Firmicutes,0
Christensenellaceae_R-7_group.1,Methanobacterium.1,0.872107463889301,0.872107463889301,positive,0.0022711505544921666,2.2488746321699918e-05,11,5,5,1,Firmicutes,Euryarchaeota,0
Christensenellaceae_R-7_group.4,Desulfuromonadaceae.1,0.8718379819364585,0.8718379819364585,positive,0.0022711505544921666,2.2783127870321877e-05,5,0,0,1,Firmicutes,Desulfobacterota,0
Ercella.1,midas_g_49937.1,0.8718379819364585,0.8718379819364585,positive,0.0022711505544921666,2.2783127870321877e-05,5,5,5,1,Firmicutes,Chloroflexi,0
midas_g_92370.1,Desulfurispora.1,0.8714990071917934,0.8714990071917934,positive,0.0022711505544921666,2.3157954348123e-05,3,5,5,1,Firmicutes,Firmicutes,1
EBM-39.1,Romboutsia.1,0.8714285714285712,0.8714285714285712,positive,0.0022711505544921666,2.3236477821632625e-05,15,0,0,1,Synergistota,Firmicutes,0
Methanosarcina.1,Aminiphilus.1,-0.8704991140047146,0.8704991140047146,negative,0.002340583880168322,2.4293513185933276e-05,8,0,5,0,Halobacterota,Synergistota,0
Methanobacterium.1,Methanobacterium.5,0.8702888011474106,0.8702888011474106,positive,0.002340583880168322,2.453814096930286e-05,6,5,5,1,Euryarchaeota,Euryarchaeota,1
Christensenellaceae_R-7_group.2,Aminiphilus.1,0.8686548362208061,0.8686548362208061,positive,0.002471624356838225,2.650918817499563e-05,9,5,5,1,Firmicutes,Synergistota,0
EBM-39.1,Methanobacterium.4,-0.8686330546284495,0.8686330546284495,negative,0.002471624356838225,2.6536323144025408e-05,13,0,5,0,Synergistota,Euryarchaeota,0
Syner-01.1,Christensenellaceae_R-7_group.3,0.8678571428571429,0.8678571428571429,positive,0.0025041438199167594,2.7518063955129224e-05,14,3,3,1,Synergistota,Firmicutes,0
Desulfovibrio.2,Dysgonomonas.1,0.8678571428571429,0.8678571428571429,positive,0.0025041438199167594,2.7518063955129224e-05,15,2,2,1,Desulfobacterota,Bacteroidota,0
Comamonadaceae.3,midas_g_97954.1,0.8674767179796739,0.8674767179796739,positive,0.0025199710491475773,2.8010288281544372e-05,11,0,0,1,Proteobacteria,Firmicutes,0
Christensenellaceae_R-7_group.2,Methanobacterium.5,0.8662596863272837,0.8662596863272837,positive,0.0026068262847182885,2.963425105780548e-05,6,5,5,1,Firmicutes,Euryarchaeota,0
EBM-39.1,Methanobacterium.5,-0.8662596863272837,0.8662596863272837,negative,0.0026068262847182885,2.963425105780548e-05,6,0,5,0,Synergistota,Euryarchaeota,0
Methanobacterium.4,Thermovirga.2,-0.8658318425760286,0.8658318425760286,negative,0.0026294316760360394,3.0223352598115397e-05,11,5,0,0,Euryarchaeota,Synergistota,0
Fermentimonas.2,Methanobacterium.4,-0.8640429338103757,0.8640429338103757,negative,0.002821951982491972,3.27926717682533e-05,11,0,5,0,Bacteroidota,Euryarchaeota,0
Methanobacterium.5,Methanothrix.1,0.8635364422916818,0.8635364422916818,positive,0.002856257291896534,3.355209399347956e-05,4,5,5,1,Euryarchaeota,Halobacterota,0
Fermentimonas.2,Methanosarcina.1,0.8632711221924715,0.8632711221924715,positive,0.002859863323838898,3.3955684279506934e-05,13,0,0,1,Bacteroidota,Halobacterota,0
Desulfuromonadaceae.1,Azoarcus.2,0.8630070645655539,0.8630070645655539,positive,0.002863565285026817,3.436133662720066e-05,5,0,0,1,Desulfobacterota,Proteobacteria,0
Methanosarcina.1,Methanobacterium.5,-0.8622305715071568,0.8622305715071568,negative,0.0029340336517215187,3.557752059685055e-05,5,0,5,0,Halobacterota,Euryarchaeota,0
Dysgonomonas.1,Taibaiella.1,0.8612962143369542,0.8612962143369542,positive,0.003023816245045972,3.708798126567508e-05,11,2,2,1,Bacteroidota,Bacteroidota,1
midas_g_114295.1,Aquamicrobium.2,0.8607721600843011,0.8607721600843011,positive,0.003023816245045972,3.795812774709632e-05,11,0,0,1,Armatimonadota,Proteobacteria,0
Romboutsia.1,Terrisporobacter.1,0.8607142857142854,0.8607142857142854,positive,0.003023816245045972,3.80552502266478e-05,14,0,0,1,Firmicutes,Firmicutes,1
midas_g_76603.1,midas_g_84729.1,0.8606318382097687,0.8606318382097687,positive,0.003023816245045972,3.819396545466682e-05,5,5,5,1,Firmicutes,Chloroflexi,0
Rhizobiaceae.1,Desulfosporosinus.2,0.8602145966082237,0.8602145966082237,positive,0.003049408458456035,3.890239412707585e-05,5,6,6,1,Proteobacteria,Firmicutes,0
Aquamicrobium.2,Azoarcus.2,0.8597674104081872,0.8597674104081872,positive,0.0030793793728634044,3.9673701658717596e-05,9,0,0,1,Proteobacteria,Proteobacteria,1
Taibaiella.1,Methanobacterium.5,-0.8558041986612832,0.8558041986612832,negative,0.0036187097964458194,4.707933674800043e-05,2,2,5,0,Bacteroidota,Euryarchaeota,0
Fermentimonas.2,Methanobacterium.5,-0.8549360186773481,0.8549360186773481,negative,0.0036829346242221593,4.8845286793397344e-05,4,0,5,0,Bacteroidota,Euryarchaeota,0
Acinetobacter.1,Methanobacterium.5,-0.8549360186773481,0.8549360186773481,negative,0.0036829346242221593,4.8845286793397344e-05,4,2,5,0,Proteobacteria,Euryarchaeota,0
Acinetobacter.2,Hyphomonas.1,0.8537714095908289,0.8537714095908289,positive,0.003831519446606354,5.12998688064006e-05,6,0,0,1,Proteobacteria,Proteobacteria,1
Methanobacterium.4,Aminiphilus.1,0.8528181211512006,0.8528181211512006,positive,0.003949927148479299,5.338413602214033e-05,9,5,5,1,Euryarchaeota,Synergistota,0
midas_g_114295.1,Aminiphilus.1,-0.8514139942789235,0.8514139942789235,negative,0.004147714446780873,5.658117471925405e-05,6,0,5,0,Armatimonadota,Synergistota,0
Acetobacterium.1,Methanobacteriaceae.1,0.8499999999999999,0.8499999999999999,positive,0.00431540449589885,5.995888525311021e-05,15,3,3,1,Firmicutes,Euryarchaeota,0
Christensenellaceae_R-7_group.2,midas_g_2178.1,0.8499999999999999,0.8499999999999999,positive,0.00431540449589885,5.995888525311021e-05,14,5,5,1,Firmicutes,Chloroflexi,0
Gordonia.1,Pannonibacter.1,0.8494678220381948,0.8494678220381948,positive,0.004335772100474499,6.127249346040178e-05,12,2,2,1,Actinobacteriota,Proteobacteria,0
Thermovirga.2,Aquamicrobium.2,0.8494418589780174,0.8494418589780174,positive,0.004335772100474499,6.133718267691599e-05,11,0,0,1,Synergistota,Proteobacteria,0
Azoarcus.2,Hyphomonas.1,0.8486015998834054,0.8486015998834054,positive,0.004446230644894189,6.346142009259105e-05,9,0,0,1,Proteobacteria,Proteobacteria,1
Acinetobacter.1,Taibaiella.1,0.8476383730778517,0.8476383730778517,positive,0.00456006119465185,6.597088152780898e-05,11,2,2,1,Proteobacteria,Bacteroidota,0
Petrimonas.2,midas_g_84729.1,0.847456086285194,0.847456086285194,positive,0.00456006119465185,6.64548795681443e-05,5,5,5,1,Bacteroidota,Chloroflexi,0
midas_g_76603.1,midas_g_49937.1,0.8471844657377412,0.8471844657377412,positive,0.00456006119465185,6.718150644596313e-05,5,5,5,1,Firmicutes,Chloroflexi,0
Petrimonas.2,Ercella.1,0.8471069516833089,0.8471069516833089,positive,0.00456006119465185,6.73900669160372e-05,8,5,5,1,Bacteroidota,Firmicutes,0
Thermovirga.2,Petrimonas.2,-0.8458348871776861,0.8458348871776861,negative,0.004719171185965674,7.088979345049956e-05,9,0,5,0,Synergistota,Bacteroidota,0
Acinetobacter.2,Aquamicrobium.2,0.8456402533090114,0.8456402533090114,positive,0.004719171185965674,7.143826328552532e-05,6,0,0,1,Proteobacteria,Proteobacteria,1
Aminiphilus.1,midas_g_49937.1,0.8454394907321584,0.8454394907321584,positive,0.004719171185965674,7.200766725848499e-05,5,5,5,1,Synergistota,Chloroflexi,0
Syner-01.1,Syner-01.2,0.8453980140725444,0.8453980140725444,positive,0.004719171185965674,7.212576904153676e-05,13,3,3,1,Synergistota,Synergistota,1
Thermovirga.1,Methanothrix.1,0.8451542547285165,0.8451542547285165,positive,0.004725741037764466,7.282309038869077e-05,4,5,5,1,Synergistota,Halobacterota,0
Aminivibrio.1,Intestinimonas.1,0.8436107032605519,0.8436107032605519,positive,0.004890433369688488,7.736906123005995e-05,13,0,0,1,Synergistota,Firmicutes,0
Paraclostridium.1,Rhodococcus.1,0.8432774650830431,0.8432774650830431,positive,0.004890433369688488,7.838057420843925e-05,11,6,6,1,Firmicutes,Actinobacteriota,0
Christensenellaceae_R-7_group.4,EBM-39.1,0.8432740427115679,0.8432740427115679,positive,0.004890433369688488,7.839101878882789e-05,8,0,0,1,Firmicutes,Synergistota,0
Desulfuromonadaceae.1,Hyphomonas.1,0.8431651693926108,0.8431651693926108,positive,0.004890433369688488,7.87238839283096e-05,5,0,0,1,Desulfobacterota,Proteobacteria,0
Paraclostridium.1,Syntrophobacter.1,0.8430186946210145,0.8430186946210145,positive,0.004890433369688488,7.917354857355542e-05,9,6,6,1,Firmicutes,Desulfobacterota,0
Petrimonas.1,Methanosarcina.1,0.8428571428571429,0.8428571428571429,positive,0.004890433369688488,7.967195252724861e-05,14,0,0,1,Bacteroidota,Halobacterota,0
Devosia.1,Trichloromonas.1,0.8428529346918812,0.8428529346918812,positive,0.004890433369688488,7.968496964630732e-05,4,0,0,1,Proteobacteria,Desulfobacterota,0
Acinetobacter.1,Petrimonas.2,-0.8422279153773548,0.8422279153773548,negative,0.004971749195913712,8.163791783109543e-05,9,2,5,0,Proteobacteria,Bacteroidota,0
Aminiphilus.1,midas_g_84729.1,0.8410475972738094,0.8410475972738094,positive,0.005163191707415615,8.543363820531079e-05,5,5,5,1,Synergistota,Chloroflexi,0
Thermovirga.1,Ca_Caldatribacterium.1,0.8403953378686622,0.8403953378686622,positive,0.005215322183931392,8.759284234207585e-05,7,5,5,1,Synergistota,Caldatribacteriota,0
Mesotoga.1,Desulfosporosinus.2,-0.8398554297360604,0.8398554297360604,negative,0.005215322183931392,8.941396900151633e-05,5,3,6,0,Thermotogota,Firmicutes,0
Christensenellaceae_R-7_group.4,Azoarcus.2,0.8398250546685181,0.8398250546685181,positive,0.005215322183931392,8.951734499808642e-05,7,0,0,1,Firmicutes,Proteobacteria,0
Dysgonomonas.1,Methanobacterium.1,-0.8392857142857142,0.8392857142857142,negative,0.005215322183931392,9.136935846519938e-05,15,2,5,0,Bacteroidota,Euryarchaeota,0
Aminivibrio.1,EBM-39.1,0.8392857142857142,0.8392857142857142,positive,0.005215322183931392,9.136935846519938e-05,15,0,0,1,Synergistota,Synergistota,1
Petrimonas.2,midas_g_49937.1,0.8388742525000276,0.8388742525000276,positive,0.005215322183931392,9.280339001058645e-05,5,5,5,1,Bacteroidota,Chloroflexi,0
Comamonadaceae.3,Methanobacterium.5,-0.838805150400417,0.838805150400417,negative,0.005215322183931392,9.304603428681089e-05,4,0,5,0,Proteobacteria,Euryarchaeota,0
Methanobacterium.4,midas_g_97954.1,-0.8386209435770237,0.8386209435770237,negative,0.005215322183931392,9.369541120786092e-05,9,5,0,0,Euryarchaeota,Firmicutes,0
Fermentimonas.2,midas_g_49937.1,-0.8384781892121947,0.8384781892121947,negative,0.005215322183931392,9.420122171304625e-05,3,0,5,0,Bacteroidota,Chloroflexi,0
Acinetobacter.1,midas_g_49937.1,-0.8384781892121947,0.8384781892121947,negative,0.005215322183931392,9.420122171304625e-05,3,2,5,0,Proteobacteria,Chloroflexi,0
Thermovirga.2,midas_g_49937.1,-0.8384781892121947,0.8384781892121947,negative,0.005215322183931392,9.420122171304625e-05,3,0,5,0,Synergistota,Chloroflexi,0
Desulfuromonadaceae.1,Methanobacterium.4,-0.8384781892121946,0.8384781892121946,negative,0.005215322183931392,9.420122171304648e-05,3,0,5,0,Desulfobacterota,Euryarchaeota,0
Fermentimonas.2,Aquamicrobium.2,0.8368174576768579,0.8368174576768579,positive,0.005511814007453172,0.0001002527746713726,11,0,0,1,Bacteroidota,Proteobacteria,0
Thermovirga.2,Romboutsia.1,0.8364614600125809,0.8364614600125809,positive,0.005535454402470118,0.0001015907799798614,13,0,0,1,Synergistota,Firmicutes,0
Ercella.1,Aminiphilus.1,0.8359369757117194,0.8359369757117194,positive,0.005535454402470118,0.00010358880513025668,7,5,5,1,Firmicutes,Synergistota,0
Christensenellaceae_R-7_group.4,Lentimicrobium.1,-0.8357448101873574,0.8357448101873574,negative,0.005535454402470118,0.00010432891155175725,8,0,5,0,Firmicutes,Bacteroidota,0
Lentimicrobium.1,midas_g_36215.1,0.8357142857142855,0.8357142857142855,positive,0.005535454402470118,0.00010444687327713345,15,5,5,1,Bacteroidota,Bacteroidota,1
Christensenellaceae_R-7_group.1,Ercella.1,0.8357108940373451,0.8357108940373451,positive,0.005535454402470118,0.00010445998717848233,8,5,5,1,Firmicutes,Firmicutes,1
Acetobacterium.1,Desulfuromonadaceae.1,0.8356029971804347,0.8356029971804347,positive,0.005535454402470118,0.00010487787803088516,5,3,0,0,Firmicutes,Desulfobacterota,0
Clostridium_sensu_stricto_13.1,Ercella.1,-0.8349675650950538,0.8349675650950538,negative,0.005564564653073297,0.00010736696715313826,5,0,5,0,Firmicutes,Firmicutes,1
Methanobacterium.4,Methanobacterium.5,0.8347724333311842,0.8347724333311842,positive,0.005564564653073297,0.00010814101644640593,6,5,5,1,Euryarchaeota,Euryarchaeota,1
Desulfuromonadaceae.1,Aquamicrobium.2,0.8345833356074444,0.8345833356074444,positive,0.005564564653073297,0.0001088955076005548,5,0,0,1,Desulfobacterota,Proteobacteria,0
Christensenellaceae_R-7_group.1,Taibaiella.1,-0.8345454545454547,0.8345454545454547,negative,0.005564564653073297,0.00010904717105997429,7,5,2,0,Firmicutes,Bacteroidota,0
Acinetobacter.1,midas_g_84729.1,-0.8342219547491886,0.8342219547491886,negative,0.005564564653073297,0.0001103494569322354,3,2,5,0,Proteobacteria,Chloroflexi,0
Fermentimonas.2,midas_g_84729.1,-0.8342219547491886,0.8342219547491886,negative,0.005564564653073297,0.0001103494569322354,3,0,5,0,Bacteroidota,Chloroflexi,0
Thermovirga.2,midas_g_84729.1,-0.8342219547491886,0.8342219547491886,negative,0.005564564653073297,0.0001103494569322354,3,0,5,0,Synergistota,Chloroflexi,0
