,2024-07-22 10:00:00,68.88749999999709,20,20.1,0,397,-803,Unnamed: 7,281,103,Unnamed: 10,40,-203,6.979166666664241,5.731343283584081,-153.55026169945404,78.51562499997272,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Min SRT Calcs for GAME,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
31,2024-10-28 12:46:00,167.00277777777956,119,58,860,340,181,0,269,142,0,1037,199.24590163934425,7.077777777776646,146.51491365779424,4.775199751338531,2.798349941068876,3.406705742862391,0.10174646781791266,0.08357699305810669,removed date 11/4/24 12:47 to see if it helps smooth HRT dataset,,,,,,
32,2024-11-11 12:45:00,181.00208333333285,209,131,890,542,126,0,424,87,0,1230,196.68617886178862,13.999305555553292,87.86150106653537,12.859103191725715,4.66643518518443,3.519665292669498,0.06101493129620512,0.08089468700765975,,,,,,,
33,2024-11-18 12:10:00,187.9777777777781,108,60,870,247,86,0,176,58,0,1038,102.7514450867052,6.975694444445253,148.80238924836505,6.623430246671267,2.7553321023338664,3.589296197464408,0.10333499253358684,0.07932536256644379,,,,,,,
34,2024-11-25 12:23:00,194.9868055555562,104,62,750,216,82,0,167,66,0,916,97.21397379912663,7.009027777778101,130.6885960566669,6.970616970622907,3.137228590490198,4.493728919419911,0.09075596948379647,0.06335990161573356,,,2024-08-26 11:05:00,2024-08-27 13:30:00,,1.1006944444452529,1585.0000000011642
35,2024-12-02 13:37:00,202.03819444444525,76,47,470,1224,303,0,1089,278,0,593,421.0370994940978,7.051388888889051,84.09690762260985,14.173101031341067,4.875327899569158,4.589489160823878,0.05840063029347906,0.0620378896746562,,,,,,,
36,2024-12-09 12:43:00,209.0006944444467,87,115,320,1083,0,71,874,0,51,522,239.66666666666666,6.962500000001455,74.97307001793766,24.711515634746902,5.468630268200376,3.8585488233181686,0.05206463195690115,0.07378997526261043,,,,,,,
37,2024-12-16 12:06:00,215.97499999999854,88,7,740,429,210,0,331,168,0,835,233.0802395209581,6.974305555551837,119.72518171867382,6.303041815241918,3.424509314702099,3.06330781656416,0.0831424873046346,0.09294600453883536,,,,,,,
38,2025-01-06 11:36:00,236.9541666666628,52,44,3110.5,396,249,0,322,210,0,3206.5,251.38390768750975,20.97916666666424,152.84210526317557,4.225698999766899,2.6825068870520314,2.9068509598842236,0.10614035087720526,0.09794868266433666,,,,,,,
39,2025-01-13 11:15:00,243.93958333333285,107,62,760,722,403,0,591,352,0,929,439.7416576964478,6.985416666670062,132.99135102886467,5.061742489150278,3.082907247938348,2.837615239222579,0.09235510488115602,0.10033855833824304,,,,,,,
40,2025-01-20 09:50:00,250.88055555555184,66,37,860,524,209,0,453,171,0,963,230.58878504672896,6.9409722222189885,138.7413706854073,6.715386014498654,2.9551387446622903,2.708078249616293,0.0963481740870884,0.10513810753532121,,,,,,,
41,2025-01-27 11:37:00,257.9548611111095,30,47,1095,256,111,0,191,88,0,1172,114.71160409556315,7.0743055555576575,165.66997153229593,5.522969839122682,2.4747997250670983,2.581156254680517,0.11504859134187218,0.11030801475343605,,,,,,,
42,2025-02-03 13:38:00,265.03888888889196,76,62,940,231,132,0,169,96,0,1078,138.9795918367347,7.084027777782467,152.17331634143443,4.478229013708298,2.694296279119491,2.704413199685694,0.10567591412599613,0.1052805918323844,,,,,,,
43,2025-02-11 13:10:00,273.01944444444234,89,62,1120,198,94,0,146,60,0,1271,101.28245476003147,7.9805555555503815,159.26209537079592,5.032715761668453,2.5743727598549615,2.908192686527602,0.1105986773408305,0.09790349296359112,,,,,,,
44,2025-02-17 12:12:00,278.97916666666424,57,57,745,213,130,0,169,94,0,859,135.50756693830036,5.959722222221899,144.13423444419334,4.471289264410429,2.8445705600826288,2.986038920494282,0.10009321836402316,0.09535114236725752,,,,,,,
45,2025-02-24 13:54:00,286.0500000000029,85,42,750,351,139,0,273,108,0,877,159.5473204104903,7.070833333338669,124.03064230986516,7.2723113784064655,3.3056347396452157,2.9327797930531183,0.08613239049296191,0.09708271411874984,,,,,,,
46,2025-03-03 12:34:00,292.9944444444409,67,62,885,1002,120,0,868,104,0,1014,178.27810650887574,6.944444444437977,146.016000000136,15.781675830949196,2.8079114617550007,2.728304796339873,0.10140000000009444,0.1043586561898026,,,,,,,
47,2025-03-10 10:41:00,299.9159722222248,65,62,930,482,234,0,391,179,0,1057,249.2507095553453,6.921527777783922,152.71194943299378,5.191842037234241,2.684793177759137,2.7797196301893266,0.10604996488402346,0.10242839570220605,,,,,,,
48,2025-03-17 11:09:00,306.93541666666715,89,20,960,407,220,0,309,182,0,1069,235.5687558465856,7.0194444444423425,152.29125445196487,4.651420618625359,2.692209749505482,2.8273108515994783,0.10575781559164227,0.10070425120080022,,,,,,,
49,2025-03-24 13:15:00,314.0229166666686,37,54,890,598,406,0,508,346,0,981,413.2415902140673,7.087500000001455,138.41269841266998,4.286522237845919,2.9621559633033607,2.8908927460447007,0.09611992945324305,0.09848937585518425,,,,,,,
50,2025-03-31 13:05:00,321.01597222222335,69,30,915,562,402,0,477.4180602006689,342.5911330049261,0,1014,412.88757396449705,6.993055555554747,145.00099304867615,3.8487294493749817,2.827566841989592,2.855261137415371,0.10069513406158066,0.09971845254054676,,,,,,,
51,2025-04-07 13:10:00,328.01944444444234,49,77,870,684,393,0,584,332,0,996,407.31626506024094,7.0034722222189885,142.21517104617374,4.841303147498178,2.88295543284115,2.88295543284115,0.09876053544873176,0.09876053544873177,,,,,,,
