,Reactor Volume (L),0.41,membrane surface area,0.1451,m2,Unnamed: 5,Reactor body (L),0.155,Correction,0.011,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,98.9546,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,0.3164351879237923,Unnamed: 22,0.4295808141706501,Unnamed: 24,0.4750679682390584,CH4 Prod Rate (m3CH4/m3rv.d),Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
31,MBfR_26,,2024-07-02 00:00:00,2024-06-27 18:47:00,2024-06-28 10:50:00,,44.922222222223354,35528.8,36094.2,559.1805999999942,0.5806652128726313,53.914,53.8226,51.8201,45.0663,45.2186,45.5092,1.0197,0.9587,2.6706,53.185566666666666,1.183411552813872,45.2647,0.22502002133143667,1.5496666666666667,0.971235760942385,0.9231326046830913,2.441834631742371,0.0026084380973126634,0.26283636661115795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MBfR_27a,,2024-07-02 00:00:00,2024-06-28 10:50:00,2024-07-02 14:36:00,,49.079166666662786,36094.2,39419.1,3288.3261000000016,0.5493361343140606,51.4054,46.0283,48.192,48.016,51.9215,51.2493,0.5786,2.0502,0.5586,48.5419,2.705572695382624,50.3956,2.0880218700961937,1.0624666666666667,0.8554606088729819,0.9723204558592744,2.571944431627758,0.002747425133716764,0.27684124090437673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MBfR_27b,,2024-07-05 00:00:00,2024-07-02 14:36:00,2024-07-05 11:30:00,,51.94999999999709,39419.1,41670.2,2226.3378999999986,0.5385432752779986,42.6352,42.7779,42.8592,54.9212,55.3715,54.8979,2.4436,1.8506,2.2429,34.47353085477725,0.11339384169051606,61.74845464726627,0.26696127684241533,3.7780622344374013,0.30161475980683233,1.1679529173925605,3.089423846006127,0.0033002115515571996,0.33254215009093735,,,,,,,,,,,,,,,,,14.326297799925861,,,,,,,,,,,,,,,
34,MBfR_28,,2024-07-09 00:00:00,2024-07-05 11:30:00,2024-07-09 10:14:00,,55.8972222222219,41670.2,44835,3129.9872000000028,0.5506662913437634,44.7885,58.6308,48.7651,52.302,50.8528,50.8103,2.9095,0.5164,0.4246,50.728133333333325,7.126881661942658,51.3217,0.8492306106117464,1.2834999999999999,1.408905181337623,0.9925860364492294,2.62555016093022,0.0028046883180164305,0.28261130204457224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MBfR_29,,2024-07-12 00:00:00,2024-07-09 10:14:00,2024-07-12 11:27:00,39,58.94791666666424,44835,47095.5,2235.6345,0.513466812127137,41.2165,42.7476,42.5633,57.5964,57.2524,57.4367,1.1871,0.0,0.0,42.1758,0.8358731901430952,57.42850000000001,0.17214653641592734,0.3957,0.6853725045550048,1.0356630610036668,2.739495838783893,0.0029264083736147716,0.2948762882024329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,MBfR_30,,2024-07-15 00:00:00,2024-07-12 11:27:00,2024-07-15 12:10:00,,61.9777777777781,47095.5,50971.4,3833.2651000000014,0.8785847123530882,9.6807,8.4603,8.5867,66.2728,67.7356,67.8093,24.0466,23.8041,23.604,8.909233333333333,0.6710922837682856,67.27256666666666,0.866607156290166,23.818233333333335,0.22163822624568597,2.075870586172822,5.491012518263593,0.005865657755553804,0.5910464863408729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,31a,51 mL removed for sample,,2024-07-15 12:10:00,2024-07-18 12:10:00,,64.9777777777781,50971.4,54707.8,3695.299600000001,0.8553934259259262,0,0.0,0.0,73.1552,71.5423,72.032,26.8448,28.4577,27.968,0,0,72.24316666666665,0.8269251014047948,27.756833333333333,0.8269251014047967,2.1704076820005422,5.741078384646595,0.00613278531785129,0.6179632983473766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,31c,gas removed for sampling 31b (50 mL) previously ,,2024-07-18 12:10:00,2024-07-25 16:18:00,,72.15000000000146,54707.8,63571.9,8766.594899999998,0.8488182513554042,0.3847,0.2237,0.1753,76.2324,75.7567,75.9365,23.383,24.0197,23.8882,0.36833887159730255,0.1096296188688683,77.50533183227921,0.24019968775999867,22.1264232960907,0.33613146733582366,2.310600827821894,6.111911867141784,0.006528920326719342,0.6578794023659559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MBfR_32,,,2024-07-25 16:18:00,2024-07-26 15:18:00,,73.10833333332994,63571.9,64937.2,1350.2816999999957,0.9784650000049494,0,8.9962,8.9883,64.2862,69.7407,69.2925,35.7138,21.2631,21.7192,5.994833333333333,5.1916794607654015,67.77313333333335,3.0280767598152742,26.232033333333334,8.21461692005983,2.329064390891782,6.160750969455681,0.006581091662754173,0.6631363890733545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MBfR_33,,,2024-07-26 15:18:00,2024-07-29 12:49:00,,76.0048611111124,64937.2,67298,2334.831200000003,0.5597773195867234,8.7131,8.6642,8.385,73.2672,73.2456,73.0134,18.0197,18.0902,18.6016,8.587433333333331,0.1770091617214584,73.17540000000001,0.1407111935845875,18.237166666666667,0.31757094220557053,1.4386628817372757,3.805495364595375,0.004065139776101193,0.4096192927168632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MBfR_34,,,2024-07-29 12:49:00,2024-07-30 10:26:00,,76.90555555555329,67298,69794,2468.544,1.9032721665456815,20.0065,20.3058,17.6078,60.4828,60.0454,60.4592,19.5107,19.6488,21.933,19.306700000000003,1.4788816822180195,60.32913333333334,0.24600344171034086,20.364166666666666,1.3604030370935416,4.0327993863274525,10.667404828350039,0.011395229141242288,1.1482276030515663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MBfR_35,,,2024-07-30 10:26:00,2024-08-01 11:40:00,42,78.95694444444234,69794,72341.6,2519.576400000006,0.8652391483515812,14.7577,16.434,17.5643,63.3909,62.9358,60.9724,21.8514,20.6302,21.4633,16.252,1.4121238932898204,62.433033333333334,1.28524951014709,21.314966666666667,0.6239667005003835,1.8972704051241092,5.018586232908934,0.005360998388014368,0.5401950459033922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MBfR_36,,,2024-08-01 11:40:00,2024-08-05 09:27:00,63,82.86458333333576,72341.6,76939.3,4547.125299999997,0.8172403486690635,3.3613,3.9151,3.8052,76.236,75.2697,75.2903,20.4028,20.8152,20.9045,3.6938666666666666,0.2932063153026096,75.59866666666666,0.5520429542466195,20.7075,0.267628828790921,2.1699142491716947,5.739773175228352,0.006131391055550618,0.6178228070558297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MBfR_37,,,2024-08-05 09:27:00,2024-08-08 16:31:00,,86.15902777777956,76939.3,80533.7,3554.8615999999943,0.7493384485667564,2.1198,1.4123,1.2008,79.272,79.8824,79.9336,18.6082,18.7053,18.8655,1.5776333333333337,0.4812915782904714,79.69600000000001,0.3680860768896292,18.726333333333333,0.12993314947823523,2.097457533552336,5.5481134758481145,0.005926654643393919,0.5971927699697622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MBfR_38,,2024-08-13 00:00:00,2024-08-08 16:31:00,2024-08-12 15:01:00,,90.09652777777956,80533.7,84981.6,4398.973100000008,0.775832998236333,0,0.0,0.0,82.2237,82.6142,82.5911,17.7763,17.3876,17.4089,0,0,82.47633333333333,0.21909154098991165,17.524266666666666,0.21852693960547137,2.2473785317535726,5.944678696896546,0.006350277036657234,0.6398786097353921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MBfR_39,After 08.15.24 recalibration,,2024-08-12 15:01:00,2024-08-15 14:46:00,,93.08611111110804,84981.6,89050.9,4024.5376999999885,0.9348519628354282,5.4121,5.3757,5.3716,80.5166,80.7459,80.5186,14.0714,13.8784,14.1098,5.386466666666667,0.022293571569699747,80.5937,0.131812859767174,14.019866666666667,0.12400908568864408,2.6461994448176656,6.999624337904793,0.0074772003609596335,0.7534317863716964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MBfR_40,"After switching media - low COD, no HCO3",,2024-08-15 14:46:00,2024-08-19 16:24:00,,97.15416666666715,89050.9,92078.1,2993.9008000000113,0.511079003072276,6.2481,6.1879,6.3375,83.3389,83.3541,83.3143,10.413,10.458,10.3482,6.257833333333333,0.07527345703057198,83.33576666666666,0.020084156276361287,10.4064,0.055196739034113186,1.4958846631585339,3.9568562057741867,0.004226827787008952,0.42591160548263807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MBfR_41,,,2024-08-19 16:24:00,2024-08-22 10:22:00,,99.90277777777374,0,2269.1,2244.1398999999997,0.5669883527043194,2.4476,2.5557,2.5068,90.9964,90.9031,90.7335,6.5559,6.5412,6.7598,2.5033666666666665,0.054131722061406165,90.87766666666666,0.13328256950303582,6.618966666666668,0.12218651043930079,1.809713977321015,4.786985359365265,0.005113595663002179,0.5152657852094557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MBfR_42,,,2024-08-22 10:22:00,2024-08-26 10:06:00,16,103.89166666666279,2269.1,4663.6,2368.1605000000004,0.41343584148043017,4.4808,4.6611,4.4754,86.9131,86.7764,86.9711,8.6061,8.5625,8.5535,4.5391,0.10568959267591127,86.88686666666668,0.09996581082217279,8.574033333333333,0.028132780405308835,1.2616558185575866,3.3372831329587767,0.003564981982140664,0.3592214483393128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MBfR_43,,,2024-08-26 10:06:00,2024-08-29 11:24:00,31,106.9458333333314,4663.6,6913.1,2224.7554999999998,0.5094471032742331,1.5011,1.0429,1.0395,90.5313,90.9787,91.0526,7.9676,7.9784,7.9079,1.1945,0.26552883082633577,90.85419999999999,0.2820702217533775,7.9513,0.0379714366333433,1.6256338774348507,4.300063804827669,0.004593452031345891,0.4628540901029783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MBfR_45,,,2024-09-06 10:41:00,2024-09-09 10:07:00,8,117.8923611111095,9246.5,11216.1,1947.9344000000003,0.45533763440924657,1.8706,1.4072,1.4973,88.4422,90.8929,90.0885,9.6873,7.6999,8.4142,1.5917000000000001,0.24569983719978267,89.80786666666667,1.2492193255522945,8.600466666666668,1.0067080725480122,1.4362384937914898,3.7990824674484576,0.004058289334627918,0.40892901559341027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
