,Unnamed: 0,Unnamed: 1,Unnamed: 2,2024-05-14 12:42:00,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,DNA Processing,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,RNA Processing,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Dates of Interest,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
10,2024-07-15 00:00:00,,,61.47083333333285,,Reactor body liquid sample,DNA,5,5,,,,,,,,,,,,,,,129,2024-09-26 00:00:00,put in modified wolfe + EDTA ,138-145,9/29/24 to 10/6/24,">97% methane, Wolfe, <2% CO2"
11,2024-07-22 00:00:00,,"before highest production rate in subsequent days ever observed, before cutting out influent COD",68.47083333333285,,Reactor body liquid sample,DNA,5,1,yes,,2024-10-25 00:00:00,"C1, C2, C3, C4",4,"-20C freezer, box",,,,,,,,,146,2024-10-07 00:00:00,put in KILLER wolfe + EDTA + switch to HCl in trace elements,,10/7/24 to 10/10/24,"butyrate production in reactor, major failure in CH4 production (10%)"
12,2024-08-05 00:00:00,,"after highest production rate in subsequent days ever observed, after cutting out influent COD",82.47083333333285,,Reactor body liquid sample,DNA,5,1,yes,,2024-10-25 00:00:00,"D1, D2, D3, D4",4,"-20C freezer, box",,,,,,,,,,,,,,
13,2024-08-13 09:30:00,x,"before dropping yeast, casitone, and bicarb out of DSMZ 120, high CO2 in product gas",90.8666666666686,,Reactor body liquid sample,both,5 each,"1, 5",yes,,2024-10-25 00:00:00,"E1, E2, E3, E4",4,"-20C freezer, box",,,,,,,,,150,2024-10-11 00:00:00,went back to modified wolfe + EDTA and switched CuSO4 to CUCl2,,,
14,2024-08-20 12:06:00,x,,97.97499999999854,,Reactor body liquid sample,both,5 each,"5, 5",,,,,,,,,,,,,,,,,,,,
15,2024-08-27 11:20:00,x,,104.94305555555184,,Reactor body liquid sample,both,5 each,"1, 5",yes,,2024-10-25 00:00:00,"F1, F2, F3, F4",4,"-20C freezer, box",,,,,,,,,,,,,,
16,2024-09-04 10:34:00,x,,112.9111111111124,,Reactor body liquid sample,both,5 each,"5, 5",,,,,,,,,,,,,,,,,,,,
17,2024-09-12 10:03:00,x,,120.88958333332994,,Reactor body liquid sample,both,5 each,"5, 5",,,,,,,,,,,,,,,,,,,,
18,2024-09-17 11:11:00,x,"after dropping methanol, best performance in DSMZ 120 before switching to Speece",125.93680555555329,,Reactor body liquid sample,both,5 each,"1, 5",yes,,2024-10-25 00:00:00,"G1, G2, G3, G4",4,"-20C freezer, box",,,,methanol free for 2-3 weeks,,,,,,,,,,
19,2024-09-24 13:05:00,x,,133.01597222222335,,Reactor body liquid sample,both,5 each,"5, 5",,,,,,,,,,speece ,,,,,,,,,,
20,2024-10-01 10:00:00,x,"98% methane, modified wolfe + EDTA , best performance before adding KILLER media",139.8874999999971,,Reactor body liquid sample,both,5 each,"1, 5",yes,,2024-10-25 00:00:00,"H1, H2, H3, H4",4,"-20C freezer, box",,,,,,,,,,,,,,
21,2024-10-08 13:36:00,,,147.03749999999854,,Reactor body liquid sample,both,5 each,"5, 5",,,,,,,,,,,,,,,,,,,,
22,2024-10-10 14:50:00,,"butyrate production, massive reduction in CH4 production after KILLER Wolfe fuck-up",149.0888888888876,,Reactor body liquid sample,both,5 each,"1, 5",yes,,2024-10-25 00:00:00,"I1, I2, I3, I4",4,"-20C freezer, box",,,,,,,,,,,,,,
23,2024-10-15 00:00:00,,,153.47083333333285,,Reactor body liquid sample,both,5 each,"5, 5",,,,,,,,,,,,,,,,,,,,
24,2024-10-22 14:48:00,,"recovery, 93% ch4, extracted for analysis on recovery",161.08750000000146,,Reactor body liquid sample,both,5 each,"1, 5",yes,,2024-10-25 00:00:00,"J1, J2, J3, J",4,"-20C freezer, box",,,,,,,,,,,,,,
25,2024-10-29 12:28:00,,,167.9902777777752,,liquid sample,both,5 each,"5, 5",,,,,,,,,,,,,,,,,,,,
26,2024-11-05 12:24:00,,,174.9875000000029,,liquid sample,both,5 each,"5, 5",,,,,,,,,,,,,,,,,,,,
27,2024-11-12 11:25:00,interested,1 week before transitioning to biofilm-only sampling,181.9465277777781,,liquid sample,both,5 each,"1, 5",yes,"biomass sample very small, so combined 2 replicate into 1 twice to try to extract more DNA",2025-03-04 00:00:00,"K1, K2",,,,,,,,,,,,,,,,
28,2024-11-19 14:30:00,Interested,"first biofilm-only sample, first direct biofilm sample",189.0749999999971,,biofilm,both,5 each,"1, 5",yes,"biomass sample very small, so combined 2 replicate into 1 twice to try to extract more DNA",2025-03-04 00:00:00,"L1, L2",,,,,,,,,,,,,,,,
29,2024-12-10 11:30:00,interested,extracted because there was good time spacing between this and other samples,209.9499999999971,,biofilm,both,5 each,"1, 5",yes,"biomass sample very small, so combined 2 replicate into 1 twice to try to extract more DNA",2025-03-04 00:00:00,"M1, M2",,,,,,,,,,,,,,,,
30,2025-01-07 13:00:00,interested,"fluffy biofilm, mostly located on underside of membranes",238.0124999999971,,biofilm,both,5 each,"1, 5",yes,"biomass sample very small, so combined 2 replicate into 1 twice to try to extract more DNA",2025-03-04 00:00:00,"N1, N2",,,,,,,,,,,,,,,,
31,2025-01-31 11:17:00,,,261.940972222219,,biofilm,both,6 each,"6, 6",,,,,,,,,,,,,,,,,,,,
32,2025-02-21 14:59:00,interested,"very large biofilm growth between this and 1/7/25 sampling date, represents doubling of feed rate",283.09513888888614,,biofilm,both,6 each,"4, 6",yes,,2025-03-04 00:00:00,"P1, P2",,,,,,,,,,,,,,,,
33,,,,-45426.52916666667,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,-45426.52916666667,,,,,,,,,,,,,,,,,,,,,,,,,
