,2024-06-25 00:00:00,41.47083333333285,Unnamed: 2,115,570,631,169,Unnamed: 7,Unnamed: 8,631.1,169.1,Unnamed: 11,Unnamed: 12,Fractionation,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
31,2024-12-16 12:06:00,215.97499999999854,,429,331,210,168,,,210,168,0.7715617715617715,0.5075528700906344,51.305,3.36,28.56,10.92,94.145,0.48951048951048953,0.45504275319985127,0.5806468745020978,yes,no,2-3 hours,,,,
32,2025-01-06 11:36:00,236.9541666666628,,396,322,249,210,,,249,210,0.8131313131313131,0.6521739130434783,49.91,4.2,35.7,13.65,103.46000000000001,0.6287878787878788,0.5175913396481732,0.5230040595399188,yes,no,2 hours,"From 1.09.24 meeting notes, Values seem stable even with our increasing feed rates ",,,
33,2025-01-13 11:15:00,243.93958333333285,,722,591,403,352,,,403,352,0.8185595567867036,0.5956006768189509,91.605,7.04,59.84,22.88,181.365,0.5581717451523546,0.4949135720784054,0.5439031786728421,yes,no,2 hours,,,,
34,2025-01-20 09:50:00,250.88055555555184,,524,453,209,171,,,209,171,0.8645038167938931,0.37748344370860926,70.215,3.42,29.07,11.115,113.82000000000001,0.3988549618320611,0.3831049024775962,0.64694254085398,yes ,no,20 minutes,,,,
35,2025-01-27 11:37:00,257.9548611111095,,256,191,111,88,,,111,88,0.74609375,0.4607329842931937,29.605,1.76,14.96,5.72,52.045,0.43359375,0.43116533768853876,0.6026515515419348,yes,no,2 hours,,,,
36,2025-02-03 13:38:00,265.03888888889196,,231,169,132,96,,,132,96,0.7316017316017316,0.5680473372781065,26.195,1.92,16.32,6.24,50.675000000000004,0.5714285714285714,0.48307844104588066,0.5548100641341884,yes,no,5-6 hours,,,,
37,2025-02-11 13:10:00,273.01944444444234,,198,146,94,60,,,94,60,0.7373737373737373,0.410958904109589,22.63,1.2,10.2,3.9,37.93,0.47474747474747475,0.4033746374901133,0.6282625889796994,yes,no,2 hours,,,,
38,2025-02-17 12:12:00,278.97916666666424,,213,169,130,94,,,130,94,0.7934272300469484,0.5562130177514792,26.195,1.88,15.98,6.11,50.165,0.6103286384976526,0.47782318349446823,0.559653144622745,yes,no,2 hours,"from 02.21.24 meeting notes, Very huge lately! This Monday biofilm knocked loose during mixing (6-7 Level), Increase recirculation rate to 2, Mixing back to full speed (Level 10-12) next week",,,
39,2025-02-24 13:54:00,286.0500000000029,,351,273,139,108,,,139,108,0.7777777777777778,0.3956043956043956,42.315,2.16,18.36,7.02,69.85499999999999,0.396011396011396,0.3942452222460812,0.6366759716555722,yes,yes,3 hours,increased our mixing rate back to level 10-12,,,
40,2025-03-03 12:34:00,292.9944444444409,,1002,868,120,104,,,120,104,0.8662674650698603,0.11981566820276497,134.54,2.08,17.68,6.76,161.06,0.11976047904191617,0.16465913324226994,0.8482553085806532,yes,yes,3 hours,"sample out of the reactor was chunky, sample TSS/VSS right after flushing, from 03.05.24 meeting notes, Values huge this week due to biofilm knocking off from mixing (this is ok) ",,,
41,2025-03-10 10:41:00,299.9159722222248,,482,391,234,179,,,234,179,0.8112033195020747,0.4578005115089514,60.605,3.58,30.43,11.635,106.25000000000001,0.4854771784232365,0.4295999999999999,0.6040941176470588,yes,yes,2 hours,from 03.14.25 meeting notes (carried over by accident?) Values huge this week due to biofilm knocking off from mixing (this is ok) ,,,
42,2025-03-17 11:09:00,306.93541666666715,,407,309,220,182,,,220,182,0.7592137592137592,0.5889967637540453,47.895,3.64,30.94,11.83,94.305,0.5405405405405406,0.49212661046604095,0.5464715550607073,yes,yes,2 hours,,,,
43,2025-03-24 13:15:00,314.0229166666686,,598,508,406,346,,,406,346,0.8494983277591973,0.6811023622047244,78.74,6.92,58.82,22.49,166.97,0.6789297658862876,0.5284182787327064,0.5130262921482901,yes,yes,3 hours,from 03.28.25 meeting notes (carried over by accident?) Values huge this week due to biofilm knocking off from mixing (this is ok) ,,,
44,2025-03-31 13:05:00,321.01597222222335,,562,477.4180602006689,402,342.5911330049261,,,402,342.5911330049261,0.8494983277591973,0.7175914812710015,73.99979933110369,6.851822660098523,58.24049261083744,22.268423645320198,161.36053824735984,0.7153024911032029,0.5414008893694648,0.5010619254830423,yes,yes,4 hours,"VSS missing because 550 muffle furnace broken this day, estimated based on most recent dates VSS/TSS ratio",,,
45,2025-04-07 13:10:00,328.01944444444234,,684,584,393,332,,,393,332,0.8538011695906432,0.5684931506849316,90.52,6.64,56.44,21.58,175.18,0.5745614035087719,0.4832743463865738,0.5546295239182555,yes,yes,3 hours,,,,
46,,-45426.52916666667,,,,,,,,0,0,,,,,,,,0.7153024911032029,0.5414008893694648,0.9192793399562217,,,,,,,
47,,-45426.52916666667,,,,,,,,0,0,,,,,,,,0.06555863342566944,0.08759050345175955,0.5010619254830423,,,,,0.6219816637762564,,
48,,-45426.52916666667,,,,,,,,0,0,,,,,,,,0.43812909527223604,0.40053411742729417,0.6308803231552387,,,,,,,
49,,-45426.52916666667,,,,,,,,0,0,,,,,,,,0.169311515972008,0.11374540961927368,0.10482420102168422,,,,,,,
