"seq","sample","rel_ab","Kingdom","Phylum","Class","Order","Family","Genus","Species","Day","Description","Media"
"0ef7e12e6eb35a8fd9fac7badac0c381","Q",0.264022694716737,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","midas_f_4245","midas_g_49937","midas_s_49937",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"1d33e98c9d94c262ab0d8b56d0936eb4","Q",0.252787686430919,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","midas_s_191",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"43a52ec4605b37f3671b33e61ff6fedd","Q",0.224700165716372,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","midas_g_36215","midas_s_87061",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"916d15ab17794198ea4c5ad1e3fb6258","Q",0.224700165716372,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Desulfurisporaceae","Desulfurispora","midas_s_73526",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"945e47119242497c2e0bc5b3c6b6ba8e","Q",0.224700165716372,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Aminiphilus","midas_s_8148",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"b7806c4f83108800a9c32dc83c148d95","Q",0.20503890121619,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Acetoanaerobium",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"e29f9ab1342fe7d53d4f1e2d03bb5969","Q",0.171333876358734,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-01",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"29b313a5262947210e3e9de415abaead","Q",0.16290762014437,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"66575db7635d648549a9eb5a4eafb710","Q",0.132011347358369,"Bacteria","WS1","midas_c_796","midas_o_796","midas_f_2296","midas_g_3409","midas_s_3951",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"0709277372b3816e3986842fb10c8e96","Q",0.123585091144005,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","midas_s_90161",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"8a4c692c01077fa5a93913725097b3bc","Q",0.12077633907255,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Xanthobacter",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"817555c3b5d93664c38e8fbec64eba2e","Q",0.12077633907255,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Thermovirga","midas_s_99362",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"c571cb007a7d9e2dfc56e8c0b4e24104","Q",0.106732578715277,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"702860fda44c0d44ddacb5bd79fd5d24","Q",0.0926888183580035,"Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosaetaceae","Methanothrix",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"3e7c933c821c9f18e53e1dda439951cf","Q",0.0926888183580035,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","midas_f_4245","midas_g_84729","midas_s_84729",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"be9dcf562f0ab066c0b252d527a42d19","Q",0.0898800662865489,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia_lituseburensis",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"25c54c57b4a4283237b33fdae82003c0","Q",0.0842625621436396,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","EBM-39",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"2e8ba4a2f665cc3ad88530fc739b1f9c","Q",0.0786450580007303,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Pelotomaculaceae","Cryptanaerobacter","midas_s_91628",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"d98dabbea4fe10de13ec5310782324e8","Q",0.0758363059292756,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Azorhizobium","midas_s_17083",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"daac17ca54538cbc9aada8497262da96","Q",0.0758363059292756,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","midas_g_76603",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"85b80813a3be5e162f462e085b709b85","Q",0.0758363059292756,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","midas_s_59948",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"4835c874610f20a02421b283dbe2f2b6","Q",0.073027553857821,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","midas_s_3624",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"af9554a6cc07a34c1cb6004e3dbb865a","Q",0.0702188017863663,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Petrimonas","midas_s_47397",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"6e21064675bd1626771d39886cc9d88b","Q",0.0674100497149117,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ercella","midas_s_59197",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"3e524f0bf09623c8530930bb8b27045c","Q",0.064601297643457,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Syner-01",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"793ecb5ed65cd96425a35698e8ab9e78","Q",0.0617925455720024,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurospirillaceae","Sulfurospirillum","Sulfurospirillum_cavolei",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"47515cfa358287ae00ead27b78b2285b","Q",0.0589837935005477,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"1ad05a58bf23396d80f11695ad750b75","Q",0.0589837935005477,"Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae",NA,NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"9711e5e56376fe411f8d9ca9e739c6f1","Q",0.0589837935005477,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"894d5f2608f2a0e9e3bf2499f1cc6130","Q",0.0561750414290931,"Bacteria","Caldatribacteriota","Caldatribacteriia","Caldatribacteriales","Caldatribacteriaceae","Ca_Caldatribacterium",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"42655605abb4cc7bd5f1be954adf23b0","Q",0.0561750414290931,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ruminiclostridium","midas_s_97058",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"2c452b25c7f3c62be462d8f47ed179e3","Q",0.0533662893576384,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"d42912a22b570ab99938b745999ae2cc","Q",0.0505575372861837,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","midas_s_56922",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"dd07e924156039f8e953d5ea58ab5023","Q",0.0505575372861837,"Bacteria","SAR324_cladeMarine_group_B","midas_c_814","midas_o_928","Ca_Phosphitivoracaceae","Ca_Phosphitivorax","Ca_Phosphitivorax_butyraticus",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"4bea53b2aad77f2569a0182f6b84255e","Q",0.0477487852147291,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","midas_s_30643",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"a039c1ac15b3f4bc5cf1db8a5f1cc0fd","Q",0.0477487852147291,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"ac9e79a82beb3b70c0c7193fff0a8524","Q",0.0477487852147291,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Anaerovorax","midas_s_8128",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"38b371de3be6ddef03bea94294e9830d","Q",0.0449400331432744,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","Methanobacterium_beijingense",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"cae75e1117d316c3a8f12909f766135b","Q",0.0449400331432744,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae",NA,NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"659d1fe872c9b31a9e0b81eef5ca6218","Q",0.0449400331432744,"Bacteria","Firmicutes","Desulfotomaculia","Desulfotomaculales","Pelotomaculaceae","Pelotomaculum","midas_s_95439",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"55f0a15d367f1f98823a8accf53c1ab4","Q",0.0421312810718198,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"10ba1c6a051a49b25b443bebd244b71c","Q",0.0421312810718198,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales",NA,NA,NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"3badde1c4760a921d723409ee05fead0","Q",0.0393225290003651,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","JGI-0000079-D21","midas_s_976",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"0d1f62d4f2f7227766a17f0340567129","Q",0.0393225290003651,"Bacteria","Firmicutes","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","Syntrophomonas",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"b26eb5a5ca6820d220d5433b1cffa5e6","Q",0.0365137769289105,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"21ceeb224e15175f0c85797abce40d0a","Q",0.0365137769289105,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","midas_s_18114",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"15c0fe41b25c6504b8dbe48ae72283d0","Q",0.0365137769289105,"Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadales","Desulfuromonadaceae","midas_g_30443","midas_s_47294",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"0e9cc4c909306f5a9562d84888902e09","Q",0.0365137769289105,"Bacteria","Armatimonadota","Chthonomonadetes","Chthonomonadales","midas_f_6187","midas_g_6187","midas_s_6187",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"df20ccfbfc0741ee313d9e9433dbac01","Q",0.0365137769289105,"Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Syntrophobotulaceae",NA,NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"db5aaacffe4ca31116f5b0e292074588","Q",0.0337050248574558,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA,NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"19083703874fec5c0e976f6ca4fa6bc9","Q",0.0337050248574558,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"1cbf580d763d0eb5497ff2d6468e7668","Q",0.0337050248574558,"Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus","midas_s_78171",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"d081020b6bdf3bf279b93bd42598e1e1","Q",0.0337050248574558,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"4f3989d95e7611bb6b5307454d75d3ce","Q",0.0308962727860012,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum","midas_s_93948",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"6322c84c5ee6585bf9973a931d8f279d","Q",0.0308962727860012,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"5837405da6036e7481240160de143774","Q",0.0308962727860012,"Bacteria","Firmicutes","Clostridia","Oscillospirales","UCG-010","midas_g_112760","midas_s_112760",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"430c875622713c0d7662add2d8e7db60","Q",0.0280875207145465,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","midas_s_43704",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"8b2843ccdbc3d39c6d758b7f91388341","Q",0.0280875207145465,"Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","midas_g_3064","midas_s_3064",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"99a197229849c15140fc329cff0ccb90","Q",0.0280875207145465,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","midas_g_2604","midas_s_2604",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"ec92f6331d8ecb50e3f0dee8fbf3bcb0","Q",0.0252787686430919,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","midas_g_15299","midas_s_96664",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"3679eb1918d142d7e468ea32c2f42595","Q",0.0224700165716372,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","midas_s_5625",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"f2fbdc2b912ea775653691981335232f","Q",0.0224700165716372,"Bacteria","Chloroflexi","Anaerolineae","RBG-13-54-9","midas_f_20645","midas_g_35108","midas_s_35108",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"ce264b1fd05f8dfc0dd2941a2b170a3a","Q",0.0224700165716372,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Pelolinea","midas_s_78044",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"5c331188779be5bb65a2e80544aa8dea","Q",0.0224700165716372,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Bellilinea","Bellilinea_caldifistulae",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"aca43babf06d3410ce71cad5778ff102","Q",0.0224700165716372,"Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Gracilibacter","midas_g_669",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"18b7af5d1e7696bb8cd541bdde042b51","Q",0.0224700165716372,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","midas_g_51070","midas_s_97159",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"8a1c973b6094cbd560f363581ce1beba","Q",0.0224700165716372,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Ercella","midas_s_96264",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"acfe0924c0f9c6ca3720854b5b458d54","Q",0.0196612645001826,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"d863bc6a2fa6a8a93787e45a6abe3304","Q",0.0196612645001826,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","midas_s_74451",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"f1ebac6585a1d66aeb6238227f0db6be","Q",0.0196612645001826,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"b6e342d9f4e409f24eea3859aa76e82a","Q",0.0196612645001826,"Bacteria","Firmicutes","midas_c_4","midas_o_4","midas_f_222","midas_g_97311","midas_s_97311",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"0112df9b91ee10ca73426db0de32571b","Q",0.0168525124287279,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"c4118088ab2644671a1d9d540c060b19","Q",0.0168525124287279,"Bacteria","Firmicutes","Limnochordia","Limnochordales","Limnochordaceae","midas_g_92370",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"94c501c5d59dddbd80effa77dbceebe0","Q",0.0168525124287279,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","midas_g_95534","midas_s_95534",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"35dbde30af820a2c3bcd85216229ad6a","Q",0.0140437603572733,"Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosarcinaceae","Methanosarcina",NA,300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
"7b43b24e8c817bba9f0008696985ae06","Q",0.0140437603572733,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","Flexifilaceae","midas_g_8129","midas_s_8129",300,NA,"Wolfe v3: went back to modified wolfe + EDTA and switched CuSO4 to CUCl2"
